TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR11,L9-R9,BEFORE,LH,843.42,38.79,31.46,2.93,19.09.2022
CMRLTR11,L9-R9,BEFORE,RH,842.93,37.89,33.43,6.91,19.09.2022
CMRLTR11,L9-R9,AFTER,LH,839.66,29.01,32.01,10.28,27.09.2022
CMRLTR11,L9-R9,AFTER,RH,839.74,29.14,31.9,9.99,27.09.2022
CMRLTR11,L10-R10,BEFORE,LH,841.61,39.24,32.4,2.72,19.09.2022
CMRLTR11,L10-R10,BEFORE,RH,844.19,37.45,34.07,7.27,19.09.2022
CMRLTR11,L10-R10,AFTER,LH,838.84,29.03,31.96,10.31,27.09.2022
CMRLTR11,L10-R10,AFTER,RH,838.99,29.12,31.92,10.02,27.09.2022
CMRLTR11,L11-R11,BEFORE,LH,846.97,36.85,32.05,3.28,19.09.2022
CMRLTR11,L11-R11,BEFORE,RH,846.6,36.27,33.57,6.89,19.09.2022
CMRLTR11,L11-R11,AFTER,LH,840.51,29.11,31.97,10.25,27.09.2022
CMRLTR11,L11-R11,AFTER,RH,840.66,29.02,31.96,10.04,27.09.2022
CMRLTR11,L12-R12,BEFORE,LH,847.55,36.03,30.29,2.98,19.09.2022
CMRLTR11,L12-R12,BEFORE,RH,848.61,36.23,32.63,6.66,19.09.2022
CMRLTR11,L12-R12,AFTER,LH,840.1,29.11,31.9,10.26,27.09.2022
CMRLTR11,L12-R12,AFTER,RH,840.29,29.08,31.96,10.0,27.09.2022
CMRLTR11,L13-R13,BEFORE,LH,845.00,37.00,31.50,3.10,19.09.2022
CMRLTR11,L13-R13,BEFORE,RH,844.00,36.80,33.00,6.50,19.09.2022
CMRLTR11,L13-R13,AFTER,LH,835.00,29.00,32.00,10.20,27.09.2022
CMRLTR11,L13-R13,AFTER,RH,835.00,29.00,32.00,10.00,27.09.2022
CMRLTR11,L14-R14,BEFORE,LH,846.00,36.50,30.50,3.00,19.09.2022
CMRLTR11,L14-R14,BEFORE,RH,847.00,36.00,33.50,6.00,19.09.2022
CMRLTR11,L14-R14,AFTER,LH,836.00,28.90,32.50,10.30,27.09.2022
CMRLTR11,L14-R14,AFTER,RH,836.00,29.10,32.00,10.00,27.09.2022
CMRLTR11,L15-R15,BEFORE,LH,847.00,36.00,31.00,3.50,19.09.2022
CMRLTR11,L15-R15,BEFORE,RH,846.00,36.50,32.50,6.00,19.09.2022
CMRLTR11,L15-R15,AFTER,LH,837.00,29.00,32.50,10.40,27.09.2022
CMRLTR11,L15-R15,AFTER,RH,837.00,29.00,32.00,10.00,27.09.2022
CMRLTR11,L16-R16,BEFORE,LH,848.00,35.50,30.00,3.20,19.09.2022
CMRLTR11,L16-R16,BEFORE,RH,847.00,36.00,32.00,5.80,19.09.2022
CMRLTR11,L16-R16,AFTER,LH,838.00,28.90,32.00,10.40,27.09.2022
CMRLTR11,L16-R16,AFTER,RH,838.00,29.00,32.00,10.00,27.09.2022
CMRLTR11,L8-R8,BEFORE,LH,845.0,35.0,31.0,3.4,19.09.2022
CMRLTR11,L8-R8,BEFORE,RH,845.5,34.8,32.5,6.8,19.09.2022
CMRLTR11,L8-R8,AFTER,LH,838.5,29.0,32.0,10.1,27.09.2022
CMRLTR11,L8-R8,AFTER,RH,838.5,29.0,32.0,10.0,27.09.2022
CMRLTR11,L7-R7,BEFORE,LH,844.5,36.0,31.5,3.5,19.09.2022
CMRLTR11,L7-R7,BEFORE,RH,845.0,35.5,32.5,7.0,19.09.2022
CMRLTR11,L7-R7,AFTER,LH,839.0,29.0,32.0,10.2,27.09.2022
CMRLTR11,L7-R7,AFTER,RH,839.0,29.0,32.0,10.0,27.09.2022
CMRLTR11,L6-R6,BEFORE,LH,841.0,36.5,32.0,3.8,19.09.2022
CMRLTR11,L6-R6,BEFORE,RH,842.0,35.5,33.0,7.0,19.09.2022
CMRLTR11,L6-R6,AFTER,LH,838.5,29.0,32.0,10.1,27.09.2022
CMRLTR11,L6-R6,AFTER,RH,838.5,29.0,32.0,10.0,27.09.2022
CMRLTR11,L5-R5,BEFORE,LH,840.0,36.0,31.0,3.5,19.09.2022
CMRLTR11,L5-R5,BEFORE,RH,840.5,35.5,32.5,6.5,19.09.2022
CMRLTR11,L5-R5,AFTER,LH,837.5,29.0,32.0,10.1,27.09.2022
CMRLTR11,L5-R5,AFTER,RH,837.5,29.0,32.0,10.0,27.09.2022
CMRLTR11,L4-R4,BEFORE,LH,847.88,36.17,31.4,3.46,19.09.2022
CMRLTR11,L4-R4,BEFORE,RH,846.94,36.18,32.4,6.56,19.09.2022
CMRLTR11,L4-R4,AFTER,LH,827.33,29.03,31.98,10.23,27.09.2022
CMRLTR11,L4-R4,AFTER,RH,827.46,29.15,31.99,10.11,27.09.2022
CMRLTR11,L3-R3,BEFORE,LH,846.95,36.54,32.26,3.24,19.09.2022
CMRLTR11,L3-R3,BEFORE,RH,846.67,36.17,32.6,6.6,19.09.2022
CMRLTR11,L3-R3,AFTER,LH,827.28,29.04,31.94,10.24,27.09.2022
CMRLTR11,L3-R3,AFTER,RH,827.5,29.1,32.19,10.1,27.09.2022
CMRLTR11,L2-R2,BEFORE,LH,840.34,40.09,35.84,5.77,19.09.2022
CMRLTR11,L2-R2,BEFORE,RH,831.61,43.13,31.88,4.37,19.09.2022
CMRLTR11,L2-R2,AFTER,LH,826.39,29.04,31.95,10.29,27.09.2022
CMRLTR11,L2-R2,AFTER,RH,826.62,29.16,31.98,10.04,27.09.2022
CMRLTR11,L1-R1,BEFORE,LH,840.61,39.52,32.75,3.81,19.09.2022
CMRLTR11,L1-R1,BEFORE,RH,842.64,38.67,32.2,5.72,19.09.2022
CMRLTR11,L1-R1,AFTER,LH,826.37,29.12,31.98,10.26,27.09.2022
CMRLTR11,L1-R1,AFTER,RH,826.59,29.09,32.02,10.13,27.09.2022
