TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR28,L1-R1,BEFORE,LH,843.07,38.09,30.54,3.09
CMRLTR28,L1-R1,BEFORE,RH,842.9,38.21,31.91,5.69
CMRLTR28,L1-R1,AFTER,LH,835.06,28.87,32.43,10.33
CMRLTR28,L1-R1,AFTER,RH,835.36,29.03,32.03,9.97
CMRLTR28,L2-R2,BEFORE,LH,843.1,38.12,32.23,3.24
CMRLTR28,L2-R2,BEFORE,RH,840.34,39.48,33.22,5.69
CMRLTR28,L2-R2,AFTER,LH,835.52,28.9,31.95,10.4
CMRLTR28,L2-R2,AFTER,RH,835.6,28.97,31.92,10.03
CMRLTR28,L3-R3,BEFORE,LH,845.37,36.97,31.68,3.16
CMRLTR28,L3-R3,BEFORE,RH,845.73,36.78,32.62,5.74
CMRLTR28,L3-R3,AFTER,LH,836.24,28.87,32.23,9.97
CMRLTR28,L3-R3,AFTER,RH,836.32,28.91,32.08,9.51
CMRLTR28,L4-R4,BEFORE,LH,846.61,36.17,30.49,3.45
CMRLTR28,L4-R4,BEFORE,RH,844.33,37.67,31.81,5.95
CMRLTR28,L4-R4,AFTER,LH,836.25,28.94,31.99,10.39
CMRLTR28,L4-R4,AFTER,RH,836.39,29.18,31.91,9.96
CMRLTR28,L5-R5,BEFORE,LH,847.13,36.0,29.93,3.2
CMRLTR28,L5-R5,BEFORE,RH,847.14,36.22,31.95,6.14
CMRLTR28,L5-R5,AFTER,LH,835.59,28.95,31.94,10.03
CMRLTR28,L5-R5,AFTER,RH,835.57,29.1,31.91,10.02
CMRLTR28,L6-R6,BEFORE,LH,847.73,35.65,30.73,3.04
CMRLTR28,L6-R6,BEFORE,RH,847.71,36.01,32.36,5.81
CMRLTR28,L6-R6,AFTER,LH,836.27,28.97,31.94,10.06
CMRLTR28,L6-R6,AFTER,RH,836.41,29.08,31.98,10.03
CMRLTR28,L7-R7,BEFORE,LH,847.55,35.94,30.93,3.05
CMRLTR28,L7-R7,BEFORE,RH,848.23,35.68,32.46,5.98
CMRLTR28,L7-R7,AFTER,LH,837.33,28.97,31.92,10.07
CMRLTR28,L7-R7,AFTER,RH,837.41,29.06,31.97,10.03
CMRLTR28,L8-R8,BEFORE,LH,848.08,35.44,29.53,3.16
CMRLTR28,L8-R8,BEFORE,RH,849.22,35.32,31.28,6.12
CMRLTR28,L8-R8,AFTER,LH,836.48,28.97,32.13,10.38
CMRLTR28,L8-R8,AFTER,RH,836.45,29.22,31.92,9.98
CMRLTR28,L9-R9,BEFORE,LH,843.21,37.64,30.19,3.12
CMRLTR28,L9-R9,BEFORE,RH,841.8,39.05,39.05,5.78
CMRLTR28,L9-R9,AFTER,LH,835.34,28.94,32.09,10.41
CMRLTR28,L9-R9,AFTER,RH,835.22,28.94,32.1,9.97
CMRLTR28,L10-R10,BEFORE,LH,842.97,38.08,31.27,3.16
CMRLTR28,L10-R10,BEFORE,RH,843.75,37.97,32.88,5.96
CMRLTR28,L10-R10,AFTER,LH,835.01,28.88,32.35,10.37
CMRLTR28,L10-R10,AFTER,RH,835.05,29.03,32.42,9.88
CMRLTR28,L11-R11,BEFORE,LH,846.43,36.29,31.42,3.1
CMRLTR28,L11-R11,BEFORE,RH,844.98,37.32,32.67,5.77
CMRLTR28,L11-R11,AFTER,LH,834.82,29.3,31.98,10.59
CMRLTR28,L11-R11,AFTER,RH,834.96,29.2,31.96,10.02
CMRLTR28,L12-R12,BEFORE,LH,846.84,36.24,29.63,3.3
CMRLTR28,L12-R12,BEFORE,RH,847.69,35.83,31.39,6.12
CMRLTR28,L12-R12,AFTER,LH,834.43,28.89,32.23,10.45
CMRLTR28,L12-R12,AFTER,RH,834.36,28.98,31.97,10.05
CMRLTR28,L13-R13,BEFORE,LH,845.83,36.55,29.94,3.08
CMRLTR28,L13-R13,BEFORE,RH,847.05,36.37,31.89,5.99
CMRLTR28,L13-R13,AFTER,LH,837.23,28.91,31.95,10.06
CMRLTR28,L13-R13,AFTER,RH,837.07,29.14,31.91,9.99
CMRLTR28,L14-R14,BEFORE,LH,847.1,36.19,31.19,3.18
CMRLTR28,L14-R14,BEFORE,RH,846.45,36.51,32.66,6.13
CMRLTR28,L14-R14,AFTER,LH,837.93,28.96,31.93,10.04
CMRLTR28,L14-R14,AFTER,RH,837.89,29.05,31.97,10.01
CMRLTR28,L15-R15,BEFORE,LH,847.38,35.84,31.39,3.24
CMRLTR28,L15-R15,BEFORE,RH,845.35,37.15,32.32,5.68
CMRLTR28,L15-R15,AFTER,LH,836.31,29.01,31.99,10.03
CMRLTR28,L15-R15,AFTER,RH,836.57,29.02,31.96,9.96
CMRLTR28,L16-R16,BEFORE,LH,848.71,35.34,29.57,3.39
CMRLTR28,L16-R16,BEFORE,RH,847.74,35.79,31.06,5.92
CMRLTR28,L16-R16,AFTER,LH,835.68,28.93,31.96,10.39
CMRLTR28,L16-R16,AFTER,RH,835.89,29.08,32.02,32.02
