TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR16,L9-R9,BEFORE,LH,844.29,37.33,33.82,3.3,17.11.2022
CMRLTR16,L9-R9,BEFORE,RH,844.62,37.84,33.94,6.7,17.11.2022
CMRLTR16,L9-R9,AFTER,LH,841.57,28.83,31.94,10.0,19.11.2022
CMRLTR16,L9-R9,AFTER,RH,841.27,28.8,31.9,9.9,19.11.2022
CMRLTR16,L10-R10,BEFORE,LH,844.01,37.91,33.72,3.3,17.11.2022
CMRLTR16,L10-R10,BEFORE,RH,844.1,37.21,34.21,6.7,17.11.2022
CMRLTR16,L10-R10,AFTER,LH,841.52,28.95,31.9,10.0,19.11.2022
CMRLTR16,L10-R10,AFTER,RH,841.04,28.9,31.94,9.98,19.11.2022
CMRLTR16,L11-R11,BEFORE,LH,845.8,35.77,33.76,3.0,17.11.2022
CMRLTR16,L11-R11,BEFORE,RH,845.71,36.7,33.7,6.8,17.11.2022
CMRLTR16,L11-R11,AFTER,LH,841.01,28.8,31.9,10.0,19.11.2022
CMRLTR16,L11-R11,AFTER,RH,841.74,28.92,31.94,9.92,19.11.2022
CMRLTR16,L12-R12,BEFORE,LH,844.56,35.59,33.37,3.0,17.11.2022
CMRLTR16,L12-R12,BEFORE,RH,844.56,35.59,33.5,6.7,17.11.2022
CMRLTR16,L12-R12,AFTER,LH,841.54,28.95,31.9,10.0,19.11.2022
CMRLTR16,L12-R12,AFTER,RH,841.95,28.95,32.26,9.95,19.11.2022
CMRLTR16,L13-R13,BEFORE,LH,845.3,35.9,33.46,3.0,17.11.2022
CMRLTR16,L13-R13,BEFORE,RH,845.01,36.01,33.0,6.9,17.11.2022
CMRLTR16,L13-R13,AFTER,LH,841.23,28.8,31.9,10.0,19.11.2022
CMRLTR16,L13-R13,AFTER,RH,841.73,28.87,31.9,9.9,19.11.2022
CMRLTR16,L14-R14,BEFORE,LH,846.4,35.63,33.54,3.1,17.11.2022
CMRLTR16,L14-R14,BEFORE,RH,846.54,35.5,33.9,6.7,17.11.2022
CMRLTR16,L14-R14,AFTER,LH,841.15,28.8,31.9,10.0,19.11.2022
CMRLTR16,L14-R14,AFTER,RH,841.75,28.82,31.94,9.94,19.11.2022
CMRLTR16,L15-R15,BEFORE,LH,845.8,35.09,33.03,3.0,17.11.2022
CMRLTR16,L15-R15,BEFORE,RH,846.18,34.1,34.1,6.8,17.11.2022
CMRLTR16,L15-R15,AFTER,LH,841.92,28.95,31.9,10.0,19.11.2022
CMRLTR16,L15-R15,AFTER,RH,841.52,28.92,31.16,9.9,19.11.2022
CMRLTR16,L16-R16,BEFORE,LH,846.22,35.31,33.0,3.0,17.11.2022
CMRLTR16,L16-R16,BEFORE,RH,846.18,34.92,34.76,6.7,17.11.2022
CMRLTR16,L16-R16,AFTER,LH,841.8,28.84,31.9,10.0,19.11.2022
CMRLTR16,L16-R16,AFTER,RH,841.92,28.92,31.9,9.9,19.11.2022
CMRLTR16,L8-R8,BEFORE,LH,846.54,35.84,30.89,3.3,17.11.2022
CMRLTR16,L8-R8,BEFORE,RH,846.54,35.12,31.72,6.9,17.11.2022
CMRLTR16,L8-R8,AFTER,LH,841.01,28.97,31.72,10.0,19.11.2022
CMRLTR16,L8-R8,AFTER,RH,841.06,29.41,31.94,9.9,19.11.2022
CMRLTR16,L7-R7,BEFORE,LH,846.72,34.92,31.94,3.0,17.11.2022
CMRLTR16,L7-R7,BEFORE,RH,846.79,34.91,32.44,6.7,17.11.2022
CMRLTR16,L7-R7,AFTER,LH,841.89,28.9,31.9,10.0,19.11.2022
CMRLTR16,L7-R7,AFTER,RH,841.29,29.01,31.94,9.9,19.11.2022
CMRLTR16,L6-R6,BEFORE,LH,846.5,35.41,33.88,3.0,17.11.2022
CMRLTR16,L6-R6,BEFORE,RH,846.59,36.0,34.2,6.8,17.11.2022
CMRLTR16,L6-R6,AFTER,LH,841.83,28.9,31.9,10.0,19.11.2022
CMRLTR16,L6-R6,AFTER,RH,841.91,28.91,31.94,9.9,19.11.2022
CMRLTR16,L5-R5,BEFORE,LH,846.52,35.57,33.85,3.0,17.11.2022
CMRLTR16,L5-R5,BEFORE,RH,846.12,35.85,34.18,6.8,17.11.2022
CMRLTR16,L5-R5,AFTER,LH,841.96,28.92,31.9,10.0,19.11.2022
CMRLTR16,L5-R5,AFTER,RH,841.98,28.99,31.9,9.9,19.11.2022
CMRLTR16,L4-R4,BEFORE,LH,846.8,35.43,33.4,3.0,17.11.2022
CMRLTR16,L4-R4,BEFORE,RH,846.99,36.99,34.1,6.8,17.11.2022
CMRLTR16,L4-R4,AFTER,LH,841.76,28.92,31.9,10.0,19.11.2022
CMRLTR16,L4-R4,AFTER,RH,841.99,28.99,31.9,9.9,19.11.2022
CMRLTR16,L3-R3,BEFORE,LH,846.52,35.52,33.5,3.0,17.11.2022
CMRLTR16,L3-R3,BEFORE,RH,846.92,36.02,34.0,6.7,17.11.2022
CMRLTR16,L3-R3,AFTER,LH,841.41,28.9,31.9,10.0,19.11.2022
CMRLTR16,L3-R3,AFTER,RH,841.93,28.99,31.9,9.98,19.11.2022
CMRLTR16,L2-R2,BEFORE,LH,845.81,37.7,33.72,3.0,17.11.2022
CMRLTR16,L2-R2,BEFORE,RH,846.7,39.46,33.86,6.7,17.11.2022
CMRLTR16,L2-R2,AFTER,LH,839.95,28.92,31.9,10.0,19.11.2022
CMRLTR16,L2-R2,AFTER,RH,839.92,28.99,31.94,9.93,19.11.2022
CMRLTR16,L1-R1,BEFORE,LH,847.19,37.22,33.43,3.0,17.11.2022
CMRLTR16,L1-R1,BEFORE,RH,847.17,37.45,33.89,6.7,17.11.2022
CMRLTR16,L1-R1,AFTER,LH,839.69,28.92,31.9,10.0,19.11.2022
CMRLTR16,L1-R1,AFTER,RH,839.53,29.35,31.86,9.94,19.11.2022
