TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR36,L1-R1,BEFORE,LH,844.21,37.91,31.01,3.01,22.04.2023
CMRLTR36,L1-R1,BEFORE,RH,844.98,37.19,33.17,6.54,22.04.2023
CMRLTR36,L1-R1,AFTER,LH,840.12,29.03,31.99,10.31,29.04.2023
CMRLTR36,L1-R1,AFTER,RH,840.26,29.1,31.87,9.96,29.04.2023
CMRLTR36,L2-R2,BEFORE,LH,844.53,38.05,32.97,3.73,22.04.2023
CMRLTR36,L2-R2,BEFORE,RH,840.5,39.59,35.43,7.59,22.04.2023
CMRLTR36,L2-R2,AFTER,LH,839.56,29.05,31.86,10.41,29.04.2023
CMRLTR36,L2-R2,AFTER,RH,839.68,29.03,31.87,10.05,29.04.2023
CMRLTR36,L3-R3,BEFORE,LH,847.54,36.58,31.59,3.3,22.04.2023
CMRLTR36,L3-R3,BEFORE,RH,848.66,35.72,33.78,7.26,22.04.2023
CMRLTR36,L3-R3,AFTER,LH,841.47,29.08,31.89,9.99,29.04.2023
CMRLTR36,L3-R3,AFTER,RH,841.42,29.11,31.93,9.83,29.04.2023
CMRLTR36,L4-R4,BEFORE,LH,849.27,35.64,31.24,3.6,22.04.2023
CMRLTR36,L4-R4,BEFORE,RH,847.25,36.23,33.61,7.14,22.04.2023
CMRLTR36,L4-R4,AFTER,LH,842.13,29.02,32.08,10.04,29.04.2023
CMRLTR36,L4-R4,AFTER,RH,842.13,29.08,31.98,9.79,29.04.2023
CMRLTR36,L5-R5,BEFORE,LH,848.62,35.83,30.62,3.27,22.04.2023
CMRLTR36,L5-R5,BEFORE,RH,848.31,35.69,32.82,6.64,22.04.2023
CMRLTR36,L5-R5,AFTER,LH,844.11,29.09,32.03,10.1,29.04.2023
CMRLTR36,L5-R5,AFTER,RH,844.18,29.2,31.81,10.04,29.04.2023
CMRLTR36,L6-R6,BEFORE,LH,849.24,35.62,31.89,3.67,22.04.2023
CMRLTR36,L6-R6,BEFORE,RH,849.52,35.03,33.51,7.12,22.04.2023
CMRLTR36,L6-R6,AFTER,LH,844.83,29.18,32.03,10.32,29.04.2023
CMRLTR36,L6-R6,AFTER,RH,844.87,29.33,31.82,10.01,29.04.2023
CMRLTR36,L7-R7,BEFORE,LH,849.3,35.36,30.89,3.06,22.04.2023
CMRLTR36,L7-R7,BEFORE,RH,850.02,34.91,33.48,7.24,22.04.2023
CMRLTR36,L7-R7,AFTER,LH,843.03,29.1,31.99,10.33,29.04.2023
CMRLTR36,L7-R7,AFTER,RH,843.41,29.09,31.85,10.03,29.04.2023
CMRLTR36,L8-R8,BEFORE,LH,850.42,34.83,30.49,3.32,22.04.2023
CMRLTR36,L8-R8,BEFORE,RH,850.03,34.93,32.99,7.13,22.04.2023
CMRLTR36,L8-R8,AFTER,LH,842.76,29.38,31.92,10.4,29.04.2023
CMRLTR36,L8-R8,AFTER,RH,843.11,29.33,31.98,10.02,29.04.2023
CMRLTR36,L9-R9,BEFORE,LH,845.18,37.52,31.17,3.03,22.04.2023
CMRLTR36,L9-R9,BEFORE,RH,844.59,37.87,33.96,6.99,22.04.2023
CMRLTR36,L9-R9,AFTER,LH,839.71,29.12,31.94,10.33,29.04.2023
CMRLTR36,L9-R9,AFTER,RH,839.7,29.34,32.14,10.01,29.04.2023
CMRLTR36,L10-R10,BEFORE,LH,845.75,37.23,31.63,2.98,22.04.2023
CMRLTR36,L10-R10,BEFORE,RH,845.23,37.24,34.03,6.92,22.04.2023
CMRLTR36,L10-R10,AFTER,LH,840.65,29.18,31.96,10.3,29.04.2023
CMRLTR36,L10-R10,AFTER,RH,840.65,28.92,32.0,10.03,29.04.2023
CMRLTR36,L11-R11,BEFORE,LH,848.42,36.12,32.25,3.78,22.04.2023
CMRLTR36,L11-R11,BEFORE,RH,848.1,35.12,34.12,7.49,22.04.2023
CMRLTR36,L11-R11,AFTER,LH,841.32,29.06,31.94,10.32,29.04.2023
CMRLTR36,L11-R11,AFTER,RH,841.46,29.25,32.94,10.01,29.04.2023
CMRLTR36,L12-R12,BEFORE,LH,849.14,35.53,30.26,3.25,22.04.2023
CMRLTR36,L12-R12,BEFORE,RH,849.56,35.24,32.56,6.66,22.04.2023
CMRLTR36,L12-R12,AFTER,LH,841.64,29.02,31.98,10.05,29.04.2023
CMRLTR36,L12-R12,AFTER,RH,841.7,29.14,32.15,9.8,29.04.2023
CMRLTR36,L13-R13,BEFORE,LH,848.0,36.23,31.58,3.42,22.04.2023
CMRLTR36,L13-R13,BEFORE,RH,848.55,35.43,32.95,6.75,22.04.2023
CMRLTR36,L13-R13,AFTER,LH,843.32,29.06,31.89,10.05,29.04.2023
CMRLTR36,L13-R13,AFTER,RH,843.53,29.15,31.93,9.79,29.04.2023
CMRLTR36,L14-R14,BEFORE,LH,848.67,35.88,31.46,3.38,22.04.2023
CMRLTR36,L14-R14,BEFORE,RH,848.28,35.66,33.36,6.74,22.04.2023
CMRLTR36,L14-R14,AFTER,LH,843.51,29.08,31.83,9.98,29.04.2023
CMRLTR36,L14-R14,AFTER,RH,843.4,29.16,31.95,9.73,29.04.2023
CMRLTR36,L15-R15,BEFORE,LH,849.17,35.47,32.03,3.72,22.04.2023
CMRLTR36,L15-R15,BEFORE,RH,849.53,35.18,33.42,7.09,22.04.2023
CMRLTR36,L15-R15,AFTER,LH,844.5,29.09,31.82,10.11,29.04.2023
CMRLTR36,L15-R15,AFTER,RH,844.17,29.12,31.98,9.85,29.04.2023
CMRLTR36,L16-R16,BEFORE,LH,850.79,34.52,29.92,3.37,22.04.2023
CMRLTR36,L16-R16,BEFORE,RH,850.26,34.75,32.45,6.77,22.04.2023
CMRLTR36,L16-R16,AFTER,LH,843.62,29.09,32.01,10.32,29.04.2023
CMRLTR36,L16-R16,AFTER,RH,843.21,29.05,31.94,10.01,29.04.2023
