TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR40,L1-R1,BEFORE,LH,844.4,36.9,31.0,2.9,25.05.2023
CMRLTR40,L1-R1,BEFORE,RH,843.7,37.25,31.5,5.25,25.05.2023
CMRLTR40,L1-R1,AFTER,LH,837.6,28.7,32.0,9.35,02.06.2023
CMRLTR40,L1-R1,AFTER,RH,837.8,28.6,32.1,9.1,02.06.2023
CMRLTR40,L2-R2,BEFORE,LH,844.25,37.05,32.15,3.2,25.05.2023
CMRLTR40,L2-R2,BEFORE,RH,839.65,39.45,32.45,5.28,25.05.2023
CMRLTR40,L2-R2,AFTER,LH,837.2,28.65,31.95,9.45,02.06.2023
CMRLTR40,L2-R2,AFTER,RH,837.15,28.55,31.55,9.05,02.06.2023
CMRLTR40,L3-R3,BEFORE,LH,847.05,35.5,31.15,2.95,25.05.2023
CMRLTR40,L3-R3,BEFORE,RH,846.85,35.85,32.45,5.5,25.05.2023
CMRLTR40,L3-R3,AFTER,LH,838.95,28.7,31.75,9.4,02.06.2023
CMRLTR40,L3-R3,AFTER,RH,839.0,28.6,31.85,9.2,02.06.2023
CMRLTR40,L4-R4,BEFORE,LH,848.45,34.8,29.95,3.1,25.05.2023
CMRLTR40,L4-R4,BEFORE,RH,847.05,35.9,31.15,5.6,25.05.2023
CMRLTR40,L4-R4,AFTER,LH,838.35,28.6,31.6,10.05,02.06.2023
CMRLTR40,L4-R4,AFTER,RH,838.5,28.65,31.45,9.65,02.06.2023
CMRLTR40,L5-R5,BEFORE,LH,846.65,36.05,30.75,3.1,25.05.2023
CMRLTR40,L5-R5,BEFORE,RH,846.15,36.15,31.95,5.65,25.05.2023
CMRLTR40,L5-R5,AFTER,LH,838.95,28.6,31.75,9.43,02.06.2023
CMRLTR40,L5-R5,AFTER,RH,839.0,28.58,31.95,9.15,02.06.2023
CMRLTR40,L6-R6,BEFORE,LH,845.15,36.35,31.3,2.87,25.05.2023
CMRLTR40,L6-R6,BEFORE,RH,846.95,35.85,32.1,5.48,25.05.2023
CMRLTR40,L6-R6,AFTER,LH,839.45,28.6,31.5,9.5,02.06.2023
CMRLTR40,L6-R6,AFTER,RH,839.25,28.6,31.9,9.2,02.06.2023
CMRLTR40,L7-R7,BEFORE,LH,848.1,35.15,29.55,3.0,25.05.2023
