TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR42,L1-R1,BEFORE,LH,848.35,32.35,28.27,4.35,12.06.2023
CMRLTR42,L1-R1,BEFORE,RH,848.61,32.2,32.31,6.57,12.06.2023
CMRLTR42,L1-R1,AFTER,LH,832.89,29.1,31.99,9.86,14.06.2023
CMRLTR42,L1-R1,AFTER,RH,832.93,29.04,31.96,9.9,14.06.2023
CMRLTR42,L2-R2,BEFORE,LH,847.76,32.76,30.16,4.71,12.06.2023
CMRLTR42,L2-R2,BEFORE,RH,847.34,32.66,33.84,7.31,12.06.2023
CMRLTR42,L2-R2,AFTER,LH,832.94,29.11,32.34,9.9,14.06.2023
CMRLTR42,L2-R2,AFTER,RH,832.67,28.97,32.74,9.96,14.06.2023
CMRLTR42,L3-R3,BEFORE,LH,848.83,31.79,29.4,4.57,12.06.2023
CMRLTR42,L3-R3,BEFORE,RH,848.81,31.71,32.84,6.95,12.06.2023
CMRLTR42,L3-R3,AFTER,LH,832.16,29.12,32.68,9.95,14.06.2023
CMRLTR42,L3-R3,AFTER,RH,832.43,29.11,32.91,9.97,14.06.2023
CMRLTR42,L4-R4,BEFORE,LH,849.23,31.82,28.98,4.71,12.06.2023
CMRLTR42,L4-R4,BEFORE,RH,848.91,31.59,32.56,7.15,12.06.2023
CMRLTR42,L4-R4,AFTER,LH,831.41,29.18,32.61,9.94,14.06.2023
CMRLTR42,L4-R4,AFTER,RH,831.77,29.11,32.97,9.95,14.06.2023
CMRLTR42,L5-R5,BEFORE,LH,849.7,31.54,26.9,4.21,12.06.2023
CMRLTR42,L5-R5,BEFORE,RH,849.2,31.28,31.19,5.6,12.06.2023
CMRLTR42,L5-R5,AFTER,LH,825.54,31.74,32.31,9.95,14.06.2023
CMRLTR42,L5-R5,AFTER,RH,825.92,31.25,32.61,9.89,14.06.2023
CMRLTR42,L6-R6,BEFORE,LH,849.86,31.69,29.11,4.42,12.06.2023
CMRLTR42,L6-R6,BEFORE,RH,848.9,31.5,32.45,6.57,12.06.2023
CMRLTR42,L6-R6,AFTER,LH,825.84,29.1,31.99,9.91,14.06.2023
CMRLTR42,L6-R6,AFTER,RH,825.62,29.11,31.93,9.92,14.06.2023
CMRLTR42,L7-R7,BEFORE,LH,849.97,31.33,28.66,4.32,12.06.2023
CMRLTR42,L7-R7,BEFORE,RH,849.52,31.38,31.86,6.0,12.06.2023
CMRLTR42,L7-R7,AFTER,LH,825.41,29.03,31.93,9.92,14.06.2023
CMRLTR42,L7-R7,AFTER,RH,825.52,29.09,31.97,9.92,14.06.2023
CMRLTR42,L8-R8,BEFORE,LH,856.67,31.63,28.37,4.51,12.06.2023
CMRLTR42,L8-R8,BEFORE,RH,850.9,31.17,31.17,6.03,12.06.2023
CMRLTR42,L8-R8,AFTER,LH,825.41,29.08,31.96,9.95,14.06.2023
CMRLTR42,L8-R8,AFTER,RH,825.21,28.98,32.02,9.76,14.06.2023
CMRLTR42,L9-R9,BEFORE,LH,854.42,32.4,28.48,4.48,12.06.2023
CMRLTR42,L9-R9,BEFORE,RH,848.16,32.26,32.65,6.89,12.06.2023
CMRLTR42,L9-R9,AFTER,LH,835.53,29.19,31.93,9.93,14.06.2023
CMRLTR42,L9-R9,AFTER,RH,835.84,29.07,31.91,9.97,14.06.2023
CMRLTR42,L10-R10,BEFORE,LH,854.86,32.0,28.73,4.32,12.06.2023
CMRLTR42,L10-R10,BEFORE,RH,848.71,32.62,32.84,7.07,12.06.2023
CMRLTR42,L10-R10,AFTER,LH,836.5,29.06,31.98,9.96,14.06.2023
CMRLTR42,L10-R10,AFTER,RH,836.72,29.1,31.97,10.01,14.06.2023
CMRLTR42,L11-R11,BEFORE,LH,855.36,32.05,30.05,4.89,12.06.2023
CMRLTR42,L11-R11,BEFORE,RH,848.79,31.89,32.78,6.94,12.06.2023
CMRLTR42,L11-R11,AFTER,LH,838.54,29.11,31.96,9.91,14.06.2023
CMRLTR42,L11-R11,AFTER,RH,838.17,29.1,31.95,10.01,14.06.2023
CMRLTR42,L12-R12,BEFORE,LH,856.15,32.01,28.99,4.62,12.06.2023
CMRLTR42,L12-R12,BEFORE,RH,850.45,30.92,31.36,6.62,12.06.2023
CMRLTR42,L12-R12,AFTER,LH,838.4,29.1,32.09,9.94,14.06.2023
CMRLTR42,L12-R12,AFTER,RH,838.6,29.02,32.02,9.98,14.06.2023
CMRLTR42,L13-R13,BEFORE,LH,856.37,32.37,28.17,4.39,12.06.2023
CMRLTR42,L13-R13,BEFORE,RH,856.12,30.97,31.3,5.87,12.06.2023
CMRLTR42,L13-R13,AFTER,LH,839.14,29.13,32.09,9.91,14.06.2023
CMRLTR42,L13-R13,AFTER,RH,839.16,29.03,32.1,9.94,14.06.2023
CMRLTR42,L14-R14,BEFORE,LH,855.93,31.22,28.74,4.39,12.06.2023
CMRLTR42,L14-R14,BEFORE,RH,849.17,31.59,31.19,5.23,12.06.2023
CMRLTR42,L14-R14,AFTER,LH,839.11,29.07,31.96,9.86,14.06.2023
CMRLTR42,L14-R14,AFTER,RH,839.16,29.24,31.91,9.85,14.06.2023
CMRLTR42,L15-R15,BEFORE,LH,855.64,31.22,29.32,4.65,12.06.2023
CMRLTR42,L15-R15,BEFORE,RH,849.18,31.56,32.03,6.08,12.06.2023
CMRLTR42,L15-R15,AFTER,LH,838.46,29.01,31.96,9.98,14.06.2023
CMRLTR42,L15-R15,AFTER,RH,838.5,29.02,31.96,9.87,14.06.2023
CMRLTR42,L16-R16,BEFORE,LH,856.39,30.99,27.07,4.31,12.06.2023
CMRLTR42,L16-R16,BEFORE,RH,849.96,31.23,31.01,5.63,12.06.2023
CMRLTR42,L16-R16,AFTER,LH,837.96,29.05,31.96,9.89,14.06.2023
CMRLTR42,L16-R16,AFTER,RH,837.89,29.03,31.99,9.99,14.06.2023
