TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR26,L1-R1,BEFORE,LH,838.47,29.72,30.01,7.67,10.02.2023
CMRLTR26,L1-R1,BEFORE,RH,838.62,30.17,29.77,6.73,10.02.2023
CMRLTR26,L1-R1,AFTER,LH,823.03,29.08,32.45,10.32,16.02.2023
CMRLTR26,L1-R1,AFTER,RH,823.31,29.16,31.83,10.01,16.02.2023
CMRLTR26,L2-R2,BEFORE,LH,837.49,29.73,29.91,7.54,10.02.2023
CMRLTR26,L2-R2,BEFORE,RH,837.8,30.25,29.75,6.65,10.02.2023
CMRLTR26,L2-R2,AFTER,LH,822.34,29.06,32.35,10.34,16.02.2023
CMRLTR26,L2-R2,AFTER,RH,822.79,29.09,31.95,10.03,16.02.2023
CMRLTR26,L3-R3,BEFORE,LH,839.51,29.6,30.69,8.24,10.02.2023
CMRLTR26,L3-R3,BEFORE,RH,839.42,30.17,30.34,7.23,10.02.2023
CMRLTR26,L3-R3,AFTER,LH,824.35,29.09,32.33,10.29,16.02.2023
CMRLTR26,L3-R3,AFTER,RH,824.61,29.17,31.9,10.03,16.02.2023
CMRLTR26,L4-R4,BEFORE,LH,840.3,29.67,29.75,7.3,10.02.2023
CMRLTR26,L4-R4,BEFORE,RH,840.37,29.96,29.29,6.52,10.02.2023
CMRLTR26,L4-R4,AFTER,LH,823.89,29.08,32.08,10.05,16.02.2023
CMRLTR26,L4-R4,AFTER,RH,824.02,29.02,32.03,10.0,16.02.2023
CMRLTR26,L5-R5,BEFORE,LH,832.5,29.78,29.33,7.3,10.02.2023
CMRLTR26,L5-R5,BEFORE,RH,832.67,29.85,29.43,6.64,10.02.2023
CMRLTR26,L5-R5,AFTER,LH,818.21,29.01,32.06,10.04,16.02.2023
CMRLTR26,L5-R5,AFTER,RH,818.54,29.03,31.98,10.01,16.02.2023
CMRLTR26,L6-R6,BEFORE,LH,833.4,29.68,29.42,7.47,10.02.2023
CMRLTR26,L6-R6,BEFORE,RH,833.24,29.93,29.12,6.42,10.02.2023
CMRLTR26,L6-R6,AFTER,LH,816.93,29.02,32.01,10.05,16.02.2023
CMRLTR26,L6-R6,AFTER,RH,817.32,29.03,31.96,10.02,16.02.2023
CMRLTR26,L7-R7,BEFORE,LH,834.98,29.58,29.95,8.12,10.02.2023
CMRLTR26,L7-R7,BEFORE,RH,834.84,29.95,29.83,6.82,10.02.2023
CMRLTR26,L7-R7,AFTER,LH,820.01,29.01,31.98,10.03,16.02.2023
CMRLTR26,L7-R7,AFTER,RH,820.07,29.04,32.02,10.05,16.02.2023
CMRLTR26,L8-R8,BEFORE,LH,835.71,29.36,29.23,7.64,10.02.2023
CMRLTR26,L8-R8,BEFORE,RH,835.54,29.84,28.93,6.36,10.02.2023
CMRLTR26,L8-R8,AFTER,LH,820.01,29.09,31.94,10.31,16.02.2023
CMRLTR26,L8-R8,AFTER,RH,820.07,29.14,31.83,9.98,16.02.2023
CMRLTR26,L9-R9,BEFORE,LH,836.92,29.68,29.95,7.62,10.02.2023
CMRLTR26,L9-R9,BEFORE,RH,836.87,30.21,29.71,6.44,10.02.2023
CMRLTR26,L9-R9,AFTER,LH,821.07,29.04,31.95,10.03,16.02.2023
CMRLTR26,L9-R9,AFTER,RH,821.34,29.06,31.97,10.01,16.02.2023
CMRLTR26,L10-R10,BEFORE,LH,836.91,29.81,30.27,7.61,10.02.2023
CMRLTR26,L10-R10,BEFORE,RH,837.0,29.85,29.66,6.71,10.02.2023
CMRLTR26,L10-R10,AFTER,LH,820.37,29.07,31.96,10.01,16.02.2023
CMRLTR26,L10-R10,AFTER,RH,820.69,29.02,31.99,10.02,16.02.2023
CMRLTR26,L11-R11,BEFORE,LH,838.5,29.66,30.14,7.76,10.02.2023
CMRLTR26,L11-R11,BEFORE,RH,838.62,29.94,29.87,6.91,10.02.2023
CMRLTR26,L11-R11,AFTER,LH,823.13,29.02,31.96,10.01,16.02.2023
CMRLTR26,L11-R11,AFTER,RH,823.42,29.03,32.01,9.98,16.02.2023
CMRLTR26,L12-R12,BEFORE,LH,839.26,29.89,29.88,6.85,10.02.2023
CMRLTR26,L12-R12,BEFORE,RH,839.14,29.93,30.23,7.78,10.02.2023
CMRLTR26,L12-R12,AFTER,LH,823.96,29.07,31.97,10.28,16.02.2023
CMRLTR26,L12-R12,AFTER,RH,823.98,29.02,32.02,10.02,16.02.2023
CMRLTR26,L13-R13,BEFORE,LH,840.09,29.47,29.83,7.54,10.02.2023
CMRLTR26,L13-R13,BEFORE,RH,839.99,29.97,29.4,6.44,10.02.2023
CMRLTR26,L13-R13,AFTER,LH,825.33,29.09,31.92,10.34,16.02.2023
CMRLTR26,L13-R13,AFTER,RH,825.55,29.18,32.19,10.02,16.02.2023
CMRLTR26,L14-R14,BEFORE,LH,839.84,29.36,30.22,8.31,10.02.2023
CMRLTR26,L14-R14,BEFORE,RH,839.79,30.07,29.69,6.58,10.02.2023
CMRLTR26,L14-R14,AFTER,LH,826.09,29.09,31.97,10.32,16.02.2023
CMRLTR26,L14-R14,AFTER,RH,826.26,29.14,32.04,10.02,16.02.2023
CMRLTR26,L15-R15,BEFORE,LH,840.55,29.5,30.1,7.89,10.02.2023
CMRLTR26,L15-R15,BEFORE,RH,840.31,29.84,29.62,6.8,10.02.2023
CMRLTR26,L15-R15,AFTER,LH,826.78,29.06,31.96,10.29,16.02.2023
CMRLTR26,L15-R15,AFTER,RH,826.99,29.12,32.11,9.99,16.02.2023
CMRLTR26,L16-R16,BEFORE,LH,839.74,29.21,30.0,8.09,10.02.2023
CMRLTR26,L16-R16,BEFORE,RH,839.59,29.91,29.68,6.66,10.02.2023
CMRLTR26,L16-R16,AFTER,LH,827.22,29.08,31.95,10.28,16.02.2023
CMRLTR26,L16-R16,AFTER,RH,827.56,29.15,31.97,9.98,16.02.2023
