TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR12,L9-R9,BEFORE,LH,844.13,38.8,34.06,3.0
CMRLTR12,L9-R9,BEFORE,RH,847.39,39.0,34.44,6.79
CMRLTR12,L9-R9,AFTER,LH,844.3,31.94,31.44,10.19
CMRLTR12,L9-R9,AFTER,RH,839.5,30.9,31.0,10.05
CMRLTR12,L10-R10,BEFORE,LH,843.94,37.89,34.9,3.1
CMRLTR12,L10-R10,BEFORE,RH,844.24,38.0,35.01,6.5
CMRLTR12,L10-R10,AFTER,LH,838.62,31.9,31.9,10.0
CMRLTR12,L10-R10,AFTER,RH,838.73,30.94,31.94,10.05
CMRLTR12,L11-R11,BEFORE,LH,847.34,37.0,34.47,3.1
CMRLTR12,L11-R11,BEFORE,RH,845.82,35.65,33.0,6.0
CMRLTR12,L11-R11,AFTER,LH,844.6,31.6,31.36,10.1
CMRLTR12,L11-R11,AFTER,RH,844.84,30.6,32.05,10.0
CMRLTR12,L12-R12,BEFORE,LH,846.86,36.5,33.29,3.3
CMRLTR12,L12-R12,BEFORE,RH,844.1,33.92,33.92,6.5
CMRLTR12,L12-R12,AFTER,LH,845.4,31.5,31.94,10.1
CMRLTR12,L12-R12,AFTER,RH,845.63,30.9,31.9,10.0
CMRLTR12,L13-R13,BEFORE,LH,845.43,36.5,33.36,3.3
CMRLTR12,L13-R13,BEFORE,RH,846.47,34.3,34.3,6.8
CMRLTR12,L13-R13,AFTER,LH,844.52,31.4,32.14,10.1
CMRLTR12,L13-R13,AFTER,RH,844.08,30.9,32.09,10.0
CMRLTR12,L14-R14,BEFORE,LH,847.75,36.0,33.98,3.2
CMRLTR12,L14-R14,BEFORE,RH,848.08,34.94,34.94,6.7
CMRLTR12,L14-R14,AFTER,LH,844.8,31.82,32.13,10.0
CMRLTR12,L14-R14,AFTER,RH,845.05,31.94,31.94,10.0
CMRLTR12,L15-R15,BEFORE,LH,848.26,36.0,34.66,3.1
CMRLTR12,L15-R15,BEFORE,RH,847.34,34.76,34.76,6.0
CMRLTR12,L15-R15,AFTER,LH,846.72,31.98,31.96,10.0
CMRLTR12,L15-R15,AFTER,RH,847.2,31.96,31.96,10.0
CMRLTR12,L16-R16,BEFORE,LH,849.74,35.0,33.12,3.0
CMRLTR12,L16-R16,BEFORE,RH,848.54,34.0,33.13,6.01
CMRLTR12,L16-R16,AFTER,LH,847.42,32.02,31.98,10.0
CMRLTR12,L16-R16,AFTER,RH,847.2,31.98,31.98,10.0
CMRLTR12,L8-R8,BEFORE,LH,849.22,35.0,32.78,3.3
CMRLTR12,L8-R8,BEFORE,RH,849.33,34.4,33.49,6.0
CMRLTR12,L8-R8,AFTER,LH,847.25,31.9,31.99,10.0
CMRLTR12,L8-R8,AFTER,RH,847.04,31.85,31.85,10.0
CMRLTR12,L7-R7,BEFORE,LH,847.25,35.0,33.79,3.0
CMRLTR12,L7-R7,BEFORE,RH,848.18,34.6,34.6,7.01
CMRLTR12,L7-R7,AFTER,LH,846.47,32.23,31.9,10.0
CMRLTR12,L7-R7,AFTER,RH,846.3,31.9,31.9,10.0
CMRLTR12,L6-R6,BEFORE,LH,846.54,36.0,34.48,3.0
CMRLTR12,L6-R6,BEFORE,RH,847.28,34.8,34.8,7.0
CMRLTR12,L6-R6,AFTER,LH,845.74,32.1,32.1,10.0
CMRLTR12,L6-R6,AFTER,RH,845.98,31.92,31.92,10.0
CMRLTR12,L5-R5,BEFORE,LH,846.56,36.0,33.06,3.1
CMRLTR12,L5-R5,BEFORE,RH,847.56,35.0,33.77,6.5
CMRLTR12,L5-R5,AFTER,LH,845.95,32.04,32.04,10.0
CMRLTR12,L5-R5,AFTER,RH,846.04,31.96,31.96,10.0
CMRLTR12,L4-R4,BEFORE,LH,847.16,36.5,33.55,3.0
CMRLTR12,L4-R4,BEFORE,RH,846.9,33.92,33.92,6.9
CMRLTR12,L4-R4,AFTER,LH,846.1,31.9,31.9,10.0
CMRLTR12,L4-R4,AFTER,RH,846.44,32.03,32.03,10.0
CMRLTR12,L3-R3,BEFORE,LH,846.14,37.0,34.4,3.0
CMRLTR12,L3-R3,BEFORE,RH,847.89,34.9,34.9,6.0
CMRLTR12,L3-R3,AFTER,LH,845.22,31.97,31.97,10.0
CMRLTR12,L3-R3,AFTER,RH,845.55,32.01,32.01,10.0
CMRLTR12,L2-R2,BEFORE,LH,842.65,39.0,36.85,3.0
CMRLTR12,L2-R2,BEFORE,RH,838.89,33.91,33.91,6.0
CMRLTR12,L2-R2,AFTER,LH,837.47,32.05,32.05,10.0
CMRLTR12,L2-R2,AFTER,RH,837.61,31.92,31.92,10.0
CMRLTR12,L1-R1,BEFORE,LH,845.7,38.0,34.34,3.0
CMRLTR12,L1-R1,BEFORE,RH,847.2,33.69,33.69,6.0
CMRLTR12,L1-R1,AFTER,LH,844.5,31.98,31.98,10.0
CMRLTR12,L1-R1,AFTER,RH,844.5,31.98,31.98,10.0
