TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR52,L1-R1,BEFORE,LH,854.37,32.82,29.37,4.37,13.01.2025
CMRLTR52,L1-R1,BEFORE,RH,854.8,32.77,30.71,6.26,13.01.2025
CMRLTR52,L1-R1,AFTER,LH,836.53,29.01,31.98,10.08,19.01.2025
CMRLTR52,L1-R1,AFTER,RH,836.85,29.0,32.09,10.08,19.01.2025
CMRLTR52,L2-R2,BEFORE,LH,854.03,32.97,29.94,4.13,13.01.2025
CMRLTR52,L2-R2,BEFORE,RH,853.9,32.83,31.74,6.67,13.01.2025
CMRLTR52,L2-R2,AFTER,LH,836.62,29.02,31.98,10.06,19.01.2025
CMRLTR52,L2-R2,AFTER,RH,836.81,29.0,32.04,10.06,19.01.2025
CMRLTR52,L3-R3,BEFORE,LH,855.28,32.16,30.79,4.92,13.01.2025
CMRLTR52,L3-R3,BEFORE,RH,855.32,32.24,31.84,6.95,13.01.2025
CMRLTR52,L3-R3,AFTER,LH,835.33,28.96,31.96,10.05,19.01.2025
CMRLTR52,L3-R3,AFTER,RH,835.62,29.0,32.06,10.09,19.01.2025
CMRLTR52,L4-R4,BEFORE,LH,856.14,31.85,29.08,4.21,13.01.2025
CMRLTR52,L4-R4,BEFORE,RH,855.83,32.04,30.59,6.57,13.01.2025
CMRLTR52,L4-R4,AFTER,LH,835.88,29.02,31.86,10.37,19.01.2025
CMRLTR52,L4-R4,AFTER,RH,835.82,28.97,32.07,10.01,19.01.2025
CMRLTR52,L5-R5,BEFORE,LH,856.28,31.9,28.56,4.15,13.01.2025
CMRLTR52,L5-R5,BEFORE,RH,856.25,31.87,30.09,6.15,13.01.2025
CMRLTR52,L5-R5,AFTER,LH,835.79,29.07,32.29,10.29,19.01.2025
CMRLTR52,L5-R5,AFTER,RH,835.9,29.01,32.01,9.99,19.01.2025
CMRLTR52,L6-R6,BEFORE,LH,855.53,32.27,29.68,4.25,13.01.2025
CMRLTR52,L6-R6,BEFORE,RH,856.13,31.72,30.7,6.29,13.01.2025
CMRLTR52,L6-R6,AFTER,LH,835.72,29.03,31.84,10.34,19.01.2025
CMRLTR52,L6-R6,AFTER,RH,835.8,29.03,31.97,9.97,19.01.2025
CMRLTR52,L7-R7,BEFORE,LH,856.36,31.76,30.15,4.66,13.01.2025
CMRLTR52,L7-R7,BEFORE,RH,856.6,31.66,30.92,6.29,13.01.2025
CMRLTR52,L7-R7,AFTER,LH,836.25,29.02,31.98,10.32,19.01.2025
CMRLTR52,L7-R7,AFTER,RH,836.34,28.96,31.84,9.99,19.01.2025
CMRLTR52,L8-R8,BEFORE,LH,857.0,31.43,27.31,3.71,13.01.2025
CMRLTR52,L8-R8,BEFORE,RH,857.17,31.33,29.28,6.09,13.01.2025
CMRLTR52,L8-R8,AFTER,LH,835.69,29.04,31.89,10.39,19.01.2025
CMRLTR52,L8-R8,AFTER,RH,835.57,29.02,31.95,1.04,19.01.2025
CMRLTR52,L9-R9,BEFORE,LH,853.93,33.01,29.27,3.85,13.01.2025
CMRLTR52,L9-R9,BEFORE,RH,854.53,32.86,30.82,6.39,13.01.2025
CMRLTR52,L9-R9,AFTER,LH,840.53,28.93,31.97,10.55,19.01.2025
CMRLTR52,L9-R9,AFTER,RH,840.32,29.04,32.23,9.96,19.01.2025
CMRLTR52,L10-R10,BEFORE,LH,854.48,33.14,30.55,4.44,13.01.2025
CMRLTR52,L10-R10,BEFORE,RH,855.29,32.42,32.4,7.25,13.01.2025
CMRLTR52,L10-R10,AFTER,LH,840.62,29.03,31.94,10.29,19.01.2025
CMRLTR52,L10-R10,AFTER,RH,840.85,29.0,31.98,10.02,19.01.2025
CMRLTR52,L11-R11,BEFORE,LH,855.39,32.29,30.19,4.5,13.01.2025
CMRLTR52,L11-R11,BEFORE,RH,855.67,32.22,31.51,6.52,13.01.2025
CMRLTR52,L11-R11,AFTER,LH,841.19,29.04,31.86,10.36,19.01.2025
CMRLTR52,L11-R11,AFTER,RH,841.32,29.06,32.14,10.01,19.01.2025
CMRLTR52,L12-R12,BEFORE,LH,855.46,32.07,29.21,4.33,13.01.2025
CMRLTR52,L12-R12,BEFORE,RH,856.57,31.72,30.87,6.76,13.01.2025
CMRLTR52,L12-R12,AFTER,LH,841.31,29.03,31.82,10.32,19.01.2025
CMRLTR52,L12-R12,AFTER,RH,841.21,29.15,32.06,10.03,19.01.2025
CMRLTR52,L13-R13,BEFORE,LH,856.01,31.9,28.86,3.94,13.01.2025
CMRLTR52,L13-R13,BEFORE,RH,856.65,31.78,30.25,6.41,13.01.2025
CMRLTR52,L13-R13,AFTER,LH,841.81,29.01,31.84,10.28,19.01.2025
CMRLTR52,L13-R13,AFTER,RH,841.84,29.04,32.07,9.97,19.01.2025
CMRLTR52,L14-R14,BEFORE,LH,856.27,31.73,30.0,4.52,13.01.2025
CMRLTR52,L14-R14,BEFORE,RH,856.73,31.81,30.96,6.53,13.01.2025
CMRLTR52,L14-R14,AFTER,LH,841.35,28.99,31.98,10.09,19.01.2025
CMRLTR52,L14-R14,AFTER,RH,841.4,29.02,31.97,10.06,19.01.2025
CMRLTR52,L15-R15,BEFORE,LH,856.66,32.78,29.14,4.23,13.01.2025
CMRLTR52,L15-R15,BEFORE,RH,855.56,32.91,31.56,6.87,13.01.2025
CMRLTR52,L15-R15,AFTER,LH,839.52,28.99,31.98,10.08,19.01.2025
CMRLTR52,L15-R15,AFTER,RH,839.43,29.03,31.99,10.02,19.01.2025
CMRLTR52,L16-R16,BEFORE,LH,856.73,31.55,27.68,4.12,13.01.2025
CMRLTR52,L16-R16,BEFORE,RH,857.26,31.42,30.45,6.49,13.01.2025
CMRLTR52,L16-R16,AFTER,LH,838.78,29.06,31.69,10.29,19.01.2025
CMRLTR52,L16-R16,AFTER,RH,838.48,29.0,31.85,10.03,19.01.2025
