TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR38,L1-R1,BEFORE,LH,844.46,37.14,30.61,3.05,08.05.2023
CMRLTR38,L1-R1,BEFORE,RH,846.16,36.88,32.95,6.6,08.05.2023
CMRLTR38,L1-R1,AFTER,LH,837.33,29.0,31.96,10.02,12.05.2023
CMRLTR38,L1-R1,AFTER,RH,837.23,29.1,31.93,10.07,12.05.2023
CMRLTR38,L2-R2,BEFORE,LH,845.96,36.52,32.21,3.33,08.05.2023
CMRLTR38,L2-R2,BEFORE,RH,843.66,37.77,34.86,7.62,08.05.2023
CMRLTR38,L2-R2,AFTER,LH,837.98,29.07,31.98,10.08,12.05.2023
CMRLTR38,L2-R2,AFTER,RH,838.01,28.96,31.94,10.07,12.05.2023
CMRLTR38,L3-R3,BEFORE,LH,849.01,35.28,31.65,3.52,08.05.2023
CMRLTR38,L3-R3,BEFORE,RH,849.03,34.86,32.88,6.61,08.05.2023
CMRLTR38,L3-R3,AFTER,LH,839.6,28.99,31.93,10.28,12.05.2023
CMRLTR38,L3-R3,AFTER,RH,839.52,28.93,31.95,10.03,12.05.2023
CMRLTR38,L4-R4,BEFORE,LH,850.57,34.39,30.43,3.43,08.05.2023
CMRLTR38,L4-R4,BEFORE,RH,849.5,34.65,32.43,6.86,08.05.2023
CMRLTR38,L4-R4,AFTER,LH,839.86,29.01,31.95,10.39,12.05.2023
CMRLTR38,L4-R4,AFTER,RH,839.96,28.93,31.97,10.01,12.05.2023
CMRLTR38,L5-R5,BEFORE,LH,849.65,34.87,29.51,2.99,08.05.2023
CMRLTR38,L5-R5,BEFORE,RH,850.18,34.51,32.18,6.54,08.05.2023
CMRLTR38,L5-R5,AFTER,LH,841.1,29.08,31.96,10.02,12.05.2023
CMRLTR38,L5-R5,AFTER,RH,841.21,29.01,31.98,10.01,12.05.2023
CMRLTR38,L6-R6,BEFORE,LH,849.76,34.93,31.06,3.11,08.05.2023
CMRLTR38,L6-R6,BEFORE,RH,850.42,34.13,32.76,6.94,08.05.2023
CMRLTR38,L6-R6,AFTER,LH,841.83,29.05,31.98,10.07,12.05.2023
CMRLTR38,L6-R6,AFTER,RH,841.92,29.06,31.95,10.03,12.05.2023
CMRLTR38,L7-R7,BEFORE,LH,850.91,34.2,30.67,3.26,08.05.2023
CMRLTR38,L7-R7,BEFORE,RH,851.11,34.05,32.31,6.49,08.05.2023
CMRLTR38,L7-R7,AFTER,LH,840.6,29.07,31.95,10.09,12.05.2023
CMRLTR38,L7-R7,AFTER,RH,840.66,28.98,31.93,10.04,12.05.2023
CMRLTR38,L8-R8,BEFORE,LH,850.77,34.32,29.24,3.09,08.05.2023
CMRLTR38,L8-R8,BEFORE,RH,852.05,33.53,31.58,6.8,08.05.2023
CMRLTR38,L8-R8,AFTER,LH,839.82,29.01,32.01,10.03,12.05.2023
CMRLTR38,L8-R8,AFTER,RH,839.86,29.03,31.97,10.05,12.05.2023
CMRLTR38,L9-R9,BEFORE,LH,846.83,36.56,31.15,3.19,08.05.2023
CMRLTR38,L9-R9,BEFORE,RH,846.33,36.4,32.91,6.6,08.05.2023
CMRLTR38,L9-R9,AFTER,LH,840.95,28.91,32.01,10.03,12.05.2023
CMRLTR38,L9-R9,AFTER,RH,840.78,28.97,31.81,9.71,12.05.2023
CMRLTR38,L10-R10,BEFORE,LH,846.72,36.4,31.48,3.1,08.05.2023
CMRLTR38,L10-R10,BEFORE,RH,846.47,36.3,32.74,6.06,08.05.2023
CMRLTR38,L10-R10,AFTER,LH,840.39,28.92,31.94,9.92,12.05.2023
CMRLTR38,L10-R10,AFTER,RH,840.52,28.94,31.98,9.66,12.05.2023
CMRLTR38,L11-R11,BEFORE,LH,849.34,35.05,31.17,3.02,08.05.2023
CMRLTR38,L11-R11,BEFORE,RH,849.87,34.51,33.22,7.19,08.05.2023
CMRLTR38,L11-R11,AFTER,LH,840.86,28.91,31.95,10.11,12.05.2023
CMRLTR38,L11-R11,AFTER,RH,840.74,28.92,32.05,9.82,12.05.2023
CMRLTR38,L12-R12,BEFORE,LH,849.02,35.19,29.68,3.13,08.05.2023
CMRLTR38,L12-R12,BEFORE,RH,850.79,34.35,32.1,6.79,08.05.2023
CMRLTR38,L12-R12,AFTER,LH,839.94,28.98,31.95,10.37,12.05.2023
CMRLTR38,L12-R12,AFTER,RH,839.82,28.85,31.89,9.99,12.05.2023
CMRLTR38,L13-R13,BEFORE,LH,849.73,34.84,30.24,3.17,08.05.2023
