TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR22,L9-R9,BEFORE,LH,846.24,35.77,31.15,4.37
CMRLTR22,L9-R9,BEFORE,RH,845.86,36.82,34.8,7.63
CMRLTR22,L9-R9,AFTER,LH,837.81,28.96,32.12,9.56
CMRLTR22,L9-R9,AFTER,RH,837.67,29.01,32.06,9.97
CMRLTR22,L10-R10,BEFORE,LH,845.54,35.89,32.2,4.71
CMRLTR22,L10-R10,BEFORE,RH,846.7,36.08,34.84,7.54
CMRLTR22,L10-R10,AFTER,LH,837.79,28.96,32.17,9.95
CMRLTR22,L10-R10,AFTER,RH,837.57,29.0,32.1,9.92
CMRLTR22,L11-R11,BEFORE,LH,849.51,34.3,31.82,5.17
CMRLTR22,L11-R11,BEFORE,RH,848.73,35.25,35.15,7.81
CMRLTR22,L11-R11,AFTER,LH,838.83,29.34,32.1,10.07
CMRLTR22,L11-R11,AFTER,RH,839.06,29.16,32.18,10.05
CMRLTR22,L12-R12,BEFORE,LH,850.08,34.67,30.64,3.41
CMRLTR22,L12-R12,BEFORE,RH,850.68,34.27,33.71,7.1
CMRLTR22,L12-R12,AFTER,LH,839.78,29.1,31.93,10.26
CMRLTR22,L12-R12,AFTER,RH,840.03,29.06,32.05,10.01
CMRLTR22,L4-R4,BEFORE,LH,850.21,34.76,31.62,4.45
CMRLTR22,L4-R4,BEFORE,RH,848.27,35.35,33.38,7.41
CMRLTR22,L4-R4,AFTER,LH,839.16,29.1,32.04,10.11
CMRLTR22,L4-R4,AFTER,RH,839.31,29.15,32.08,10.07
CMRLTR22,L3-R3,BEFORE,LH,848.70,35.62,32.42,4.36
CMRLTR22,L3-R3,BEFORE,RH,848.98,35.05,33.64,7.30
CMRLTR22,L3-R3,AFTER,LH,839.69,29.09,31.98,10.17
CMRLTR22,L3-R3,AFTER,RH,839.75,29.12,31.91,10.08
CMRLTR22,L2-R2,BEFORE,LH,844.99,37.73,33.72,4.56
CMRLTR22,L2-R2,BEFORE,RH,840.13,38.79,34.61,7.38
CMRLTR22,L2-R2,AFTER,LH,837.75,29.10,31.95,10.28
CMRLTR22,L2-R2,AFTER,RH,837.86,29.14,31.92,10.04
CMRLTR22,L1-R1,BEFORE,LH,845.29,36.95,31.68,3.46
CMRLTR22,L1-R1,BEFORE,RH,845.87,36.45,32.71,6.43
CMRLTR22,L1-R1,AFTER,LH,838.47,29.10,31.91,10.25
CMRLTR22,L1-R1,AFTER,RH,838.54,29.09,31.96,10.07
CMRLTR22,L16-R16,BEFORE,LH,850.50,33.50,30.00,3.50
CMRLTR22,L16-R16,BEFORE,RH,851.00,34.00,33.00,6.50
CMRLTR22,L16-R16,AFTER,LH,840.00,28.50,31.50,10.00
CMRLTR22,L16-R16,AFTER,RH,840.50,29.00,32.00,9.50
CMRLTR22,L15-R15,BEFORE,LH,849.50,34.00,30.50,3.70
CMRLTR22,L15-R15,BEFORE,RH,850.00,34.50,33.50,6.70
CMRLTR22,L15-R15,AFTER,LH,839.00,28.00,31.00,9.80
CMRLTR22,L15-R15,AFTER,RH,839.50,28.50,31.50,9.30
CMRLTR22,L14-R14,BEFORE,LH,848.50,34.50,31.00,3.90
CMRLTR22,L14-R14,BEFORE,RH,849.00,35.00,34.00,6.90
CMRLTR22,L14-R14,AFTER,LH,838.00,27.50,30.50,9.60
CMRLTR22,L14-R14,AFTER,RH,838.50,28.00,31.00,9.10
CMRLTR22,L13-R13,BEFORE,LH,847.50,35.00,31.50,4.10
CMRLTR22,L13-R13,BEFORE,RH,848.00,35.50,34.50,7.10
CMRLTR22,L13-R13,AFTER,LH,837.00,27.00,30.00,9.40
CMRLTR22,L13-R13,AFTER,RH,837.50,27.50,30.50,8.90
CMRLTR22,L8-R8,BEFORE,LH,845.00,35.00,31.00,3.50
CMRLTR22,L8-R8,BEFORE,RH,845.50,35.50,34.00,6.50
CMRLTR22,L8-R8,AFTER,LH,838.00,28.50,31.50,9.50
CMRLTR22,L8-R8,AFTER,RH,838.50,29.00,32.00,9.00
CMRLTR22,L7-R7,BEFORE,LH,844.00,34.50,30.50,3.70
CMRLTR22,L7-R7,BEFORE,RH,844.50,35.00,33.50,6.70
CMRLTR22,L7-R7,AFTER,LH,837.00,28.00,31.00,9.30
CMRLTR22,L7-R7,AFTER,RH,837.50,28.50,31.50,8.80
CMRLTR22,L6-R6,BEFORE,LH,843.00,34.00,30.00,3.90
CMRLTR22,L6-R6,BEFORE,RH,843.50,34.50,33.00,6.90
CMRLTR22,L6-R6,AFTER,LH,836.00,27.50,30.50,9.10
CMRLTR22,L6-R6,AFTER,RH,836.50,28.00,31.00,8.60
CMRLTR22,L5-R5,BEFORE,LH,842.00,33.50,29.50,4.10
CMRLTR22,L5-R5,BEFORE,RH,842.50,34.00,32.50,7.10
CMRLTR22,L5-R5,AFTER,LH,835.00,27.00,30.00,8.90
CMRLTR22,L5-R5,AFTER,RH,835.50,27.50,30.50,8.40
