TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR43,L1-R1,BEFORE,LH,856.23,31.68,29.2,4.16
CMRLTR43,L1-R1,BEFORE,RH,856.41,31.46,30.81,6.79
CMRLTR43,L1-R1,AFTER,LH,842.92,29.11,32.12,10.27
CMRLTR43,L1-R1,AFTER,RH,842.78,28.75,31.97,10.01
CMRLTR43,L2-R2,BEFORE,LH,856.24,31.68,29.68,4.17
CMRLTR43,L2-R2,BEFORE,RH,855.98,31.65,31.85,7.47
CMRLTR43,L2-R2,AFTER,LH,843.51,29.07,31.98,10.34
CMRLTR43,L2-R2,AFTER,RH,843.21,28.93,31.92,10.06
CMRLTR43,L3-R3,BEFORE,LH,856.45,31.67,30.36,4.97
CMRLTR43,L3-R3,BEFORE,RH,856.79,31.07,31.12,7.01
CMRLTR43,L3-R3,AFTER,LH,842.52,28.98,32.05,10.43
CMRLTR43,L3-R3,AFTER,RH,842.22,28.96,31.99,10.05
CMRLTR43,L4-R4,BEFORE,LH,857.14,31.59,29.61,5.23
CMRLTR43,L4-R4,BEFORE,RH,856.71,31.26,31.21,7.34
CMRLTR43,L4-R4,AFTER,LH,843.1,29.06,32.09,10.32
CMRLTR43,L4-R4,AFTER,RH,843.09,28.94,31.96,10.04
CMRLTR43,L5-R5,BEFORE,LH,857.34,31.1,29.17,4.41
CMRLTR43,L5-R5,BEFORE,RH,857.54,30.77,30.41,6.6
CMRLTR43,L5-R5,AFTER,LH,844.06,29.06,32.17,10.4
CMRLTR43,L5-R5,AFTER,RH,843.95,28.87,31.95,10.05
CMRLTR43,L6-R6,BEFORE,LH,856.43,31.87,30.91,5.7
CMRLTR43,L6-R6,BEFORE,RH,857.04,31.9,31.7,7.55
CMRLTR43,L6-R6,AFTER,LH,844.37,29.08,31.95,10.37
CMRLTR43,L6-R6,AFTER,RH,844.12,28.97,31.89,10.04
CMRLTR43,L7-R7,BEFORE,LH,857.82,30.92,29.44,4.69
CMRLTR43,L7-R7,BEFORE,RH,857.86,30.47,30.59,6.93
CMRLTR43,L7-R7,AFTER,LH,843.7,29.1,31.92,10.26
CMRLTR43,L7-R7,AFTER,RH,843.35,28.96,31.99,9.99
CMRLTR43,L8-R8,BEFORE,LH,857.85,30.94,29.2,5.51
CMRLTR43,L8-R8,BEFORE,RH,857.93,30.91,30.27,6.9
CMRLTR43,L8-R8,AFTER,LH,844.25,29.13,32.05,10.31
CMRLTR43,L8-R8,AFTER,RH,844.07,28.98,32.01,10.05
CMRLTR43,L9-R9,BEFORE,LH,854.42,32.59,30.39,4.82
CMRLTR43,L9-R9,BEFORE,RH,855.51,31.56,31.56,7.32
CMRLTR43,L9-R9,AFTER,LH,845.92,28.89,32.17,10.17
CMRLTR43,L9-R9,AFTER,RH,845.6,28.94,32.23,9.9
CMRLTR43,L10-R10,BEFORE,LH,855.28,32.13,30.76,4.97
CMRLTR43,L10-R10,BEFORE,RH,855.62,31.82,32.22,7.52
CMRLTR43,L10-R10,AFTER,LH,845.01,29.02,31.95,10.35
CMRLTR43,L10-R10,AFTER,RH,845.06,28.91,31.94,10.06
CMRLTR43,L11-R11,BEFORE,LH,856.78,31.43,30.78,5.83
CMRLTR43,L11-R11,BEFORE,RH,856.57,31.15,31.48,7.25
CMRLTR43,L11-R11,AFTER,LH,844.62,29.06,31.9,10.38
CMRLTR43,L11-R11,AFTER,RH,844.46,28.94,31.94,10.08
CMRLTR43,L12-R12,BEFORE,LH,856.89,31.23,29.08,4.28
CMRLTR43,L12-R12,BEFORE,RH,857.04,31.2,30.9,6.97
CMRLTR43,L12-R12,AFTER,LH,843.74,28.99,31.92,10.31
CMRLTR43,L12-R12,AFTER,RH,843.54,28.93,31.89,10.06
CMRLTR43,L13-R13,BEFORE,LH,857.39,31.13,29.32,4.79
CMRLTR43,L13-R13,BEFORE,RH,857.8,30.47,30.31,6.81
CMRLTR43,L13-R13,AFTER,LH,843.54,29.01,31.93,10.33
CMRLTR43,L13-R13,AFTER,RH,843.33,28.94,31.94,10.04
CMRLTR43,L14-R14,BEFORE,LH,857.81,31.02,29.48,4.54
CMRLTR43,L14-R14,BEFORE,RH,857.9,30.31,30.45,6.8
CMRLTR43,L14-R14,AFTER,LH,843.78,28.97,32.01,10.08
CMRLTR43,L14-R14,AFTER,RH,843.59,28.99,31.98,9.9
CMRLTR43,L15-R15,BEFORE,LH,857.52,31.14,29.8,5.03
CMRLTR43,L15-R15,BEFORE,RH,857.69,30.91,31.1,7.12
CMRLTR43,L15-R15,AFTER,LH,844.06,29.01,31.97,10.38
CMRLTR43,L15-R15,AFTER,RH,843.9,28.94,31.96,10.03
CMRLTR43,L16-R16,BEFORE,LH,857.31,31.25,29.39,4.61
CMRLTR43,L16-R16,BEFORE,RH,857.7,30.73,30.53,6.84
CMRLTR43,L16-R16,AFTER,LH,843.67,29.03,32.01,10.31
CMRLTR43,L16-R16,AFTER,RH,843.38,29.0,31.99,9.99
