TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
cmrltr5,L9-R9,before,LH,843.53,37.13,33.44,6.15,15.06.2022
cmrltr5,L9-R9,before,RH,843.28,37.4,34.02,7.96,15.06.2022
cmrltr5,L9-R9,after,LH,839.25,28.92,31.88,9.91,28.06.2022
cmrltr5,L9-R9,after,RH,839.21,28.86,31.88,9.91,28.06.2022
cmrltr5,L10-R10,before,LH,843.13,36.74,34.35,6.68,15.06.2022
cmrltr5,L10-R10,before,RH,842.96,37.06,33.77,6.95,15.06.2022
cmrltr5,L10-R10,after,LH,840.17,28.76,31.84,9.8,28.06.2022
cmrltr5,L10-R10,after,RH,839.94,28.84,32.39,9.94,28.06.2022
cmrltr5,L11-R11,before,LH,846.21,35.66,33.79,6.21,15.06.2022
cmrltr5,L11-R11,before,RH,844.49,36.38,35.54,8.62,15.06.2022
cmrltr5,L11-R11,after,LH,840.8,28.94,31.78,9.91,28.06.2022
cmrltr5,L11-R11,after,RH,840.83,28.94,31.95,9.91,28.06.2022
cmrltr5,L12-R12,before,LH,845.8,35.74,33.45,6.18,15.06.2022
cmrltr5,L12-R12,before,RH,846.87,35.38,34.79,8.48,15.06.2022
cmrltr5,L12-R12,after,LH,840.23,28.87,31.75,9.89,28.06.2022
cmrltr5,L12-R12,after,RH,840.07,28.46,31.73,9.98,28.06.2022
cmrltr5,L13-R13,before,LH,846.9,35.6,32.99,6.17,15.06.2022
cmrltr5,L13-R13,before,RH,847.07,35.35,34.03,8.17,15.06.2022
cmrltr5,L13-R13,after,LH,844.63,28.74,31.94,9.9,28.06.2022
cmrltr5,L13-R13,after,RH,844.4,28.83,31.75,10,28.06.2022
cmrltr5,L14-R14,before,LH,847.33,35.48,33.6,6.58,15.06.2022
cmrltr5,L14-R14,before,RH,845.57,36.25,34.74,8.35,15.06.2022
cmrltr5,L14-R14,after,LH,844.65,28.84,32.01,9.83,28.06.2022
cmrltr5,L14-R14,after,RH,844.76,28.74,32.05,9.99,28.06.2022
cmrltr5,L15-R15,before,LH,847.45,34.86,34.08,6.42,15.06.2022
cmrltr5,L15-R15,before,RH,847.03,35.18,35.27,8.16,15.06.2022
cmrltr5,L15-R15,after,LH,845.64,28.92,31.91,9.98,28.06.2022
cmrltr5,L15-R15,after,RH,845.52,28.83,31.99,10.02,28.06.2022
cmrltr5,L16-R16,before,LH,847.96,34.49,33.13,6.2,15.06.2022
cmrltr5,L16-R16,before,RH,847.64,34.74,34.34,8.35,15.06.2022
cmrltr5,L16-R16,after,LH,846.14,28.76,32.27,9.91,28.06.2022
cmrltr5,L16-R16,after,RH,846.25,28.74,31.96,10.06,28.06.2022
cmrltr5,L8-R8,before,LH,848.02,34.72,32.51,5.7,15.06.2022
cmrltr5,L8-R8,before,RH,848.88,34.35,34.8,8.77,15.06.2022
cmrltr5,L8-R8,after,LH,846.52,28.62,32,9.67,28.06.2022
cmrltr5,L8-R8,after,RH,846.32,28.78,32.26,9.86,28.06.2022
cmrltr5,L7-R7,before,LH,846.04,33.76,34.94,6.21,15.06.2022
cmrltr5,L7-R7,before,RH,846.24,35.69,34.58,8.85,15.06.2022
cmrltr5,L7-R7,after,LH,843.38,28.71,31.7,9.89,28.06.2022
cmrltr5,L7-R7,after,RH,843.24,28.71,31.95,10,28.06.2022
cmrltr5,L6-R6,before,LH,846.25,35.64,34.46,6.49,15.06.2022
cmrltr5,L6-R6,before,RH,846.6,35.41,35.52,8.5,15.06.2022
cmrltr5,L6-R6,after,LH,843.92,28.74,32.05,9.82,28.06.2022
cmrltr5,L6-R6,after,RH,843.63,28.84,32.01,9.98,28.06.2022
cmrltr5,L5-R5,before,LH,846.79,35.15,33.21,6.03,15.06.2022
cmrltr5,L5-R5,before,RH,844.92,36.02,34.66,8.24,15.06.2022
cmrltr5,L5-R5,after,LH,843.01,28.84,32,10.15,28.06.2022
cmrltr5,L5-R5,after,RH,843.12,28.72,32.04,10.02,28.06.2022
cmrltr5,L4-R4,before,LH,848.02,34.9,33.24,6.07,15.06.2022
cmrltr5,L4-R4,before,RH,846.56,36.01,35.01,8.45,15.06.2022
cmrltr5,L4-R4,after,LH,844.63,28.72,31.98,9.9,28.06.2022
cmrltr5,L4-R4,after,RH,844.18,28.75,32.03,9.99,28.06.2022
cmrltr5,L3-R3,before,LH,846.4,35.36,34.46,6.46,15.06.2022
cmrltr5,L3-R3,before,RH,847.34,35.65,36.05,8.6,15.06.2022
cmrltr5,L3-R3,after,LH,843.73,28.93,31.73,9.58,28.06.2022
cmrltr5,L3-R3,after,RH,843.26,28.73,31.86,10.21,28.06.2022
cmrltr5,L2-R2,before,LH,842.38,37.55,34.97,6.55,15.06.2022
cmrltr5,L2-R2,before,RH,838.87,38.92,35.19,7.34,15.06.2022
cmrltr5,L2-R2,after,LH,837.25,28.93,31.91,9.84,28.06.2022
cmrltr5,L2-R2,after,RH,837.12,28.84,31.95,9.93,28.06.2022
cmrltr5,L1-R1,before,LH,842.89,37.25,34.58,6.9,15.06.2022
cmrltr5,L1-R1,before,RH,843.44,37.04,34.16,7.36,15.06.2022
cmrltr5,L1-R1,after,LH,841.18,28.94,32.17,9.91,28.06.2022
cmrltr5,L1-R1,after,RH,841.15,28.82,32.18,9.91,28.06.2022
