TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR46,L1-R1,BEFORE,LH,856.45,31.8,29.4,4.3
CMRLTR46,L1-R1,BEFORE,RH,856.6,31.6,31.0,6.9
CMRLTR46,L1-R1,AFTER,LH,843.1,29.15,32.2,10.4
CMRLTR46,L1-R1,AFTER,RH,842.9,28.9,32.0,10.15
CMRLTR46,L2-R2,BEFORE,LH,856.4,31.85,29.8,4.35
CMRLTR46,L2-R2,BEFORE,RH,856.1,31.8,32.0,7.6
CMRLTR46,L2-R2,AFTER,LH,843.7,29.2,32.1,10.45
CMRLTR46,L2-R2,AFTER,RH,843.4,29.05,32.05,10.2
CMRLTR46,L3-R3,BEFORE,LH,856.6,31.8,30.5,5.1
CMRLTR46,L3-R3,BEFORE,RH,856.9,31.2,31.3,7.15
CMRLTR46,L3-R3,AFTER,LH,842.7,29.1,32.2,10.55
CMRLTR46,L3-R3,AFTER,RH,842.4,29.1,32.1,10.2
CMRLTR46,L4-R4,BEFORE,LH,857.3,31.7,29.75,5.35
CMRLTR46,L4-R4,BEFORE,RH,856.85,31.4,31.35,7.5
CMRLTR46,L4-R4,AFTER,LH,843.3,29.2,32.25,10.45
CMRLTR46,L4-R4,AFTER,RH,843.25,29.1,32.1,10.2
CMRLTR46,L5-R5,BEFORE,LH,857.5,31.25,29.3,4.55
CMRLTR46,L5-R5,BEFORE,RH,857.7,30.9,30.55,6.75
CMRLTR46,L5-R5,AFTER,LH,844.2,29.2,32.3,10.5
CMRLTR46,L5-R5,AFTER,RH,844.1,29.0,32.1,10.2
CMRLTR46,L6-R6,BEFORE,LH,856.6,32.0,31.05,5.85
CMRLTR46,L6-R6,BEFORE,RH,857.2,32.05,31.85,7.7
CMRLTR46,L6-R6,AFTER,LH,844.5,29.2,32.1,10.5
CMRLTR46,L6-R6,AFTER,RH,844.3,29.1,32.0,10.2
CMRLTR46,L7-R7,BEFORE,LH,857.9,31.05,29.6,4.8
CMRLTR46,L7-R7,BEFORE,RH,858.0,30.6,30.7,7.05
CMRLTR46,L7-R7,AFTER,LH,843.85,29.2,32.05,10.4
CMRLTR46,L7-R7,AFTER,RH,843.5,29.1,32.1,10.15
CMRLTR46,L8-R8,BEFORE,LH,858.0,31.05,29.35,5.65
CMRLTR46,L8-R8,BEFORE,RH,858.1,31.05,30.4,7.05
CMRLTR46,L8-R8,AFTER,LH,844.4,29.25,32.2,10.45
CMRLTR46,L8-R8,AFTER,RH,844.2,29.1,32.15,10.2
CMRLTR46,L9-R9,BEFORE,LH,854.6,32.7,30.5,4.95
CMRLTR46,L9-R9,BEFORE,RH,855.7,31.7,31.7,7.4
CMRLTR46,L9-R9,AFTER,LH,846.1,29.0,32.3,10.3
CMRLTR46,L9-R9,AFTER,RH,845.8,29.05,32.35,10.05
CMRLTR46,L10-R10,BEFORE,LH,855.4,32.25,30.9,5.1
CMRLTR46,L10-R10,BEFORE,RH,855.8,31.95,32.35,7.65
CMRLTR46,L10-R10,AFTER,LH,845.2,29.15,32.1,10.5
CMRLTR46,L10-R10,AFTER,RH,845.2,29.05,32.05,10.2
CMRLTR46,L11-R11,BEFORE,LH,856.9,31.55,30.9,5.95
CMRLTR46,L11-R11,BEFORE,RH,856.7,31.3,31.6,7.4
CMRLTR46,L11-R11,AFTER,LH,844.8,29.2,32.0,10.5
CMRLTR46,L11-R11,AFTER,RH,844.6,29.05,32.05,10.2
CMRLTR46,L12-R12,BEFORE,LH,857.0,31.35,29.2,4.4
CMRLTR46,L12-R12,BEFORE,RH,857.2,31.3,31.05,7.1
CMRLTR46,L12-R12,AFTER,LH,843.9,29.1,32.05,10.45
CMRLTR46,L12-R12,AFTER,RH,843.7,29.05,32.0,10.2
CMRLTR46,L13-R13,BEFORE,LH,857.5,31.25,29.45,4.9
CMRLTR46,L13-R13,BEFORE,RH,857.9,30.6,30.45,6.95
CMRLTR46,L13-R13,AFTER,LH,843.7,29.15,32.05,10.45
CMRLTR46,L13-R13,AFTER,RH,843.5,29.05,32.05,10.2
CMRLTR46,L14-R14,BEFORE,LH,857.95,31.1,29.6,4.65
CMRLTR46,L14-R14,BEFORE,RH,858.05,30.45,30.6,6.95
CMRLTR46,L14-R14,AFTER,LH,843.9,29.1,32.1,10.2
CMRLTR46,L14-R14,AFTER,RH,843.7,29.1,32.1,10.05
CMRLTR46,L15-R15,BEFORE,LH,857.6,31.25,29.95,5.15
CMRLTR46,L15-R15,BEFORE,RH,857.8,31.0,31.2,7.2
CMRLTR46,L15-R15,AFTER,LH,844.2,29.1,32.1,10.45
CMRLTR46,L15-R15,AFTER,RH,844.0,29.05,32.05,10.1
CMRLTR46,L16-R16,BEFORE,LH,857.4,31.35,29.5,4.75
CMRLTR46,L16-R16,BEFORE,RH,857.8,30.85,30.65,6.95
CMRLTR46,L16-R16,AFTER,LH,843.8,29.15,32.1,10.4
CMRLTR46,L16-R16,AFTER,RH,843.5,29.1,32.1,10.1
