TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR50,L1-R1,BEFORE,LH,856.26,31.81,28.58,4.38
CMRLTR50,L1-R1,BEFORE,RH,856.24,32.17,31.21,6.81
CMRLTR50,L1-R1,AFTER,LH,836.96,28.89,31.86,9.83
CMRLTR50,L1-R1,AFTER,RH,836.7,29.1,32.03,9.93
CMRLTR50,L2-R2,BEFORE,LH,855.88,32.24,30.23,5.04
CMRLTR50,L2-R2,BEFORE,RH,855.49,32.21,32.09,7.44
CMRLTR50,L2-R2,AFTER,LH,836.71,29.02,31.87,9.9
CMRLTR50,L2-R2,AFTER,RH,837.1,29.14,31.83,9.91
CMRLTR50,L3-R3,BEFORE,LH,857.49,31.11,27.82,4.36
CMRLTR50,L3-R3,BEFORE,RH,857.23,31.09,31.27,7.32
CMRLTR50,L3-R3,AFTER,LH,836.9,28.9,31.85,9.88
CMRLTR50,L3-R3,AFTER,RH,836.79,29.09,32.17,9.93
CMRLTR50,L4-R4,BEFORE,LH,858.05,31.06,27.91,4.58
CMRLTR50,L4-R4,BEFORE,RH,857.34,31.43,29.87,6.21
CMRLTR50,L4-R4,AFTER,LH,837.36,28.96,31.94,9.97
CMRLTR50,L4-R4,AFTER,RH,837.03,29.01,31.96,9.98
CMRLTR50,L5-R5,BEFORE,LH,858.0,31.03,28.03,4.4
CMRLTR50,L5-R5,BEFORE,RH,857.13,31.09,30.7,6.79
CMRLTR50,L5-R5,AFTER,LH,833.02,28.98,31.92,9.93
CMRLTR50,L5-R5,AFTER,RH,832.95,29.19,31.98,9.92
CMRLTR50,L6-R6,BEFORE,LH,858.06,30.94,29.25,4.96
CMRLTR50,L6-R6,BEFORE,RH,857.91,31.01,30.61,6.75
CMRLTR50,L6-R6,AFTER,LH,833.36,29.03,31.81,9.92
CMRLTR50,L6-R6,AFTER,RH,833.15,29.09,31.8,9.93
CMRLTR50,L7-R7,BEFORE,LH,857.74,30.82,28.59,4.42
CMRLTR50,L7-R7,BEFORE,RH,857.37,30.82,30.83,7.15
CMRLTR50,L7-R7,AFTER,LH,833.96,28.96,31.85,9.92
CMRLTR50,L7-R7,AFTER,RH,833.82,29.19,31.86,10.0
CMRLTR50,L8-R8,BEFORE,LH,858.02,30.77,28.63,4.75
CMRLTR50,L8-R8,BEFORE,RH,856.93,31.33,30.61,6.79
CMRLTR50,L8-R8,AFTER,LH,834.2,29.0,31.96,9.97
CMRLTR50,L8-R8,AFTER,RH,834.14,29.13,31.85,9.98
CMRLTR50,L9-R9,BEFORE,LH,856.75,31.9,28.63,4.64
CMRLTR50,L9-R9,BEFORE,RH,856.01,31.64,30.54,6.43
CMRLTR50,L9-R9,AFTER,LH,837.18,28.98,31.95,9.93
CMRLTR50,L9-R9,AFTER,RH,837.66,29.02,31.92,9.95
CMRLTR50,L10-R10,BEFORE,LH,856.41,31.76,28.42,4.32
CMRLTR50,L10-R10,BEFORE,RH,856.82,31.35,31.11,6.99
CMRLTR50,L10-R10,AFTER,LH,837.25,28.83,31.85,9.9
CMRLTR50,L10-R10,AFTER,RH,837.17,29.08,31.95,9.97
CMRLTR50,L11-R11,BEFORE,LH,856.78,31.78,30.17,4.94
CMRLTR50,L11-R11,BEFORE,RH,856.0,31.6,31.79,7.32
CMRLTR50,L11-R11,AFTER,LH,838.37,28.95,31.89,9.93
CMRLTR50,L11-R11,AFTER,RH,838.72,29.27,31.92,9.97
CMRLTR50,L12-R12,BEFORE,LH,856.54,31.52,28.31,4.34
CMRLTR50,L12-R12,BEFORE,RH,856.86,31.05,31.29,7.59
CMRLTR50,L12-R12,AFTER,LH,837.63,28.84,31.93,9.92
CMRLTR50,L12-R12,AFTER,RH,838.04,29.0,31.98,9.95
CMRLTR50,L13-R13,BEFORE,LH,857.58,31.11,28.62,4.63
CMRLTR50,L13-R13,BEFORE,RH,857.33,31.09,30.56,6.82
CMRLTR50,L13-R13,AFTER,LH,839.61,28.93,31.89,9.98
CMRLTR50,L13-R13,AFTER,RH,839.98,29.2,31.92,10.01
CMRLTR50,L14-R14,BEFORE,LH,857.95,30.66,28.79,4.54
CMRLTR50,L14-R14,BEFORE,RH,857.33,30.99,31.33,7.54
CMRLTR50,L14-R14,AFTER,LH,838.79,28.98,31.96,9.94
CMRLTR50,L14-R14,AFTER,RH,839.18,29.13,31.95,9.96
CMRLTR50,L15-R15,BEFORE,LH,857.81,30.87,29.71,5.06
CMRLTR50,L15-R15,BEFORE,RH,857.57,30.86,31.53,7.7
CMRLTR50,L15-R15,AFTER,LH,838.78,28.88,31.95,9.93
CMRLTR50,L15-R15,AFTER,RH,838.61,29.08,31.85,9.97
CMRLTR50,L16-R16,BEFORE,LH,857.91,30.66,27.82,4.46
CMRLTR50,L16-R16,BEFORE,RH,857.96,30.7,30.15,6.66
CMRLTR50,L16-R16,AFTER,LH,838.46,28.87,31.98,9.92
CMRLTR50,L16-R16,AFTER,RH,838.34,29.15,31.84,9.98
