TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR39,L1-R1,BEFORE,LH,844.35,36.85,30.95,2.88
CMRLTR39,L1-R1,BEFORE,RH,843.65,37.2,31.45,5.21
CMRLTR39,L1-R1,AFTER,LH,837.55,28.67,31.98,9.3
CMRLTR39,L1-R1,AFTER,RH,837.75,28.58,32.05,9.06
CMRLTR39,L2-R2,BEFORE,LH,844.2,37.0,32.1,3.18
CMRLTR39,L2-R2,BEFORE,RH,839.6,39.4,32.4,5.25
CMRLTR39,L2-R2,AFTER,LH,837.15,28.6,31.9,9.41
CMRLTR39,L2-R2,AFTER,RH,837.1,28.5,31.5,9.01
CMRLTR39,L3-R3,BEFORE,LH,847.0,35.45,31.1,2.9
CMRLTR39,L3-R3,BEFORE,RH,846.8,35.8,32.4,5.48
CMRLTR39,L3-R3,AFTER,LH,838.9,28.65,31.7,9.35
CMRLTR39,L3-R3,AFTER,RH,838.95,28.55,31.8,9.15
CMRLTR39,L4-R4,BEFORE,LH,848.4,34.75,29.9,3.05
CMRLTR39,L4-R4,BEFORE,RH,847.0,35.85,31.1,5.55
CMRLTR39,L4-R4,AFTER,LH,838.3,28.55,31.55,10.0
CMRLTR39,L4-R4,AFTER,RH,838.45,28.6,31.4,9.62
CMRLTR39,L5-R5,BEFORE,LH,846.6,35.6,30.3,3.08
CMRLTR39,L5-R5,BEFORE,RH,846.1,36.1,31.9,5.63
CMRLTR39,L5-R5,AFTER,LH,838.9,28.58,31.7,9.39
CMRLTR39,L5-R5,AFTER,RH,838.95,28.55,31.9,9.12
CMRLTR39,L6-R6,BEFORE,LH,845.1,36.3,31.25,2.84
CMRLTR39,L6-R6,BEFORE,RH,846.9,35.8,32.05,5.45
CMRLTR39,L6-R6,AFTER,LH,839.4,28.55,31.45,9.48
CMRLTR39,L6-R6,AFTER,RH,839.2,28.55,31.85,9.17
CMRLTR39,L7-R7,BEFORE,LH,848.05,35.1,29.5,2.97
CMRLTR39,L7-R7,BEFORE,RH,847.8,35.35,32.35,5.64
CMRLTR39,L7-R7,AFTER,LH,838.35,28.6,31.55,9.95
CMRLTR39,L7-R7,AFTER,RH,838.45,28.6,31.55,9.64
CMRLTR39,L8-R8,BEFORE,LH,849.0,34.5,29.6,2.95
CMRLTR39,L8-R8,BEFORE,RH,849.5,34.6,31.05,5.8
CMRLTR39,L8-R8,AFTER,LH,838.1,28.65,31.6,9.85
CMRLTR39,L8-R8,AFTER,RH,838.5,28.6,31.4,9.64
CMRLTR39,L9-R9,BEFORE,LH,843.4,37.4,30.7,2.85
CMRLTR39,L9-R9,BEFORE,RH,841.9,37.9,31.95,5.35
CMRLTR39,L9-R9,AFTER,LH,839.2,28.45,32.15,9.45
CMRLTR39,L9-R9,AFTER,RH,839.35,28.6,31.5,9.08
CMRLTR39,L10-R10,BEFORE,LH,843.1,37.35,31.5,2.92
CMRLTR39,L10-R10,BEFORE,RH,844.1,37.4,32.5,5.33
CMRLTR39,L10-R10,AFTER,LH,839.35,28.55,31.75,9.45
CMRLTR39,L10-R10,AFTER,RH,839.3,28.6,31.85,9.17
CMRLTR39,L11-R11,BEFORE,LH,846.7,35.5,31.1,2.75
CMRLTR39,L11-R11,BEFORE,RH,846.6,36.1,32.6,5.65
CMRLTR39,L11-R11,AFTER,LH,838.2,28.6,31.5,9.98
CMRLTR39,L11-R11,AFTER,RH,838.3,28.65,31.35,9.6
CMRLTR39,L12-R12,BEFORE,LH,846.1,35.85,28.8,2.87
CMRLTR39,L12-R12,BEFORE,RH,847.8,35.35,31.6,5.7
CMRLTR39,L12-R12,AFTER,LH,837.3,28.58,31.45,9.99
CMRLTR39,L12-R12,AFTER,RH,837.4,28.6,31.4,9.68
CMRLTR39,L13-R13,BEFORE,LH,846.7,35.6,29.0,2.82
CMRLTR39,L13-R13,BEFORE,RH,847.6,35.3,31.2,5.5
CMRLTR39,L13-R13,AFTER,LH,838.1,28.5,31.4,9.96
CMRLTR39,L13-R13,AFTER,RH,838.3,28.7,31.6,9.72
CMRLTR39,L14-R14,BEFORE,LH,847.6,35.1,30.9,2.97
CMRLTR39,L14-R14,BEFORE,RH,847.85,35.3,31.9,5.4
CMRLTR39,L14-R14,AFTER,LH,839.0,28.6,31.4,9.88
CMRLTR39,L14-R14,AFTER,RH,838.85,28.6,31.45,9.6
CMRLTR39,L15-R15,BEFORE,LH,848.2,34.9,31.1,3.12
CMRLTR39,L15-R15,BEFORE,RH,847.9,35.3,31.6,5.33
CMRLTR39,L15-R15,AFTER,LH,838.7,28.55,31.4,9.99
CMRLTR39,L15-R15,AFTER,RH,838.85,28.6,31.5,9.62
CMRLTR39,L16-R16,BEFORE,LH,849.2,34.5,29.7,3.2
CMRLTR39,L16-R16,BEFORE,RH,848.7,34.85,31.2,5.53
CMRLTR39,L16-R16,AFTER,LH,838.4,28.55,31.5,10.0
CMRLTR39,L16-R16,AFTER,RH,838.5,28.6,31.55,9.61
