TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR27,L1-R1,BEFORE,LH,844.9,37.27,32.07,3.41
CMRLTR27,L1-R1,BEFORE,RH,844.81,36.8,32.58,6.19
CMRLTR27,L1-R1,AFTER,LH,838.59,28.97,32.24,9.78
CMRLTR27,L1-R1,AFTER,RH,838.95,28.91,32.0,9.54
CMRLTR27,L2-R2,BEFORE,LH,844.36,37.42,32.95,3.86
CMRLTR27,L2-R2,BEFORE,RH,840.07,39.23,34.63,7.12
CMRLTR27,L2-R2,AFTER,LH,838.09,28.98,32.44,9.96
CMRLTR27,L2-R2,AFTER,RH,838.26,28.94,31.95,9.7
CMRLTR27,L3-R3,BEFORE,LH,847.36,35.92,32.67,4.18
CMRLTR27,L3-R3,BEFORE,RH,847.53,35.42,33.23,6.86
CMRLTR27,L3-R3,AFTER,LH,839.92,29.0,32.1,9.91
CMRLTR27,L3-R3,AFTER,RH,840.29,28.96,31.97,9.6
CMRLTR27,L4-R4,BEFORE,LH,848.8,35.22,31.51,3.81
CMRLTR27,L4-R4,BEFORE,RH,847.79,35.42,32.73,6.61
CMRLTR27,L4-R4,AFTER,LH,840.31,29.02,32.3,9.81
CMRLTR27,L4-R4,AFTER,RH,840.64,28.94,32.2,9.53
CMRLTR27,L5-R5,BEFORE,LH,848.09,35.75,31.37,3.54
CMRLTR27,L5-R5,BEFORE,RH,847.31,35.82,33.11,6.92
CMRLTR27,L5-R5,AFTER,LH,840.29,28.96,32.27,10.01
CMRLTR27,L5-R5,AFTER,RH,840.5,28.94,32.04,9.62
CMRLTR27,L6-R6,BEFORE,LH,846.53,36.41,32.2,3.65
CMRLTR27,L6-R6,BEFORE,RH,847.88,35.44,33.61,7.22
CMRLTR27,L6-R6,AFTER,LH,840.31,29.12,32.11,9.9
CMRLTR27,L6-R6,AFTER,RH,840.21,28.97,32.18,9.7
CMRLTR27,L7-R7,BEFORE,LH,849.01,35.34,32.14,4.21
CMRLTR27,L7-R7,BEFORE,RH,849.21,34.84,31.9,6.87
CMRLTR27,L7-R7,AFTER,LH,839.64,29.02,31.95,10.36
CMRLTR27,L7-R7,AFTER,RH,839.85,28.93,31.97,10.03
CMRLTR27,L8-R8,BEFORE,LH,849.69,34.68,30.79,3.55
CMRLTR27,L8-R8,BEFORE,RH,849.91,34.61,32.53,6.93
CMRLTR27,L8-R8,AFTER,LH,838.68,28.96,31.99,10.34
CMRLTR27,L8-R8,AFTER,RH,838.94,28.93,31.98,10.05
CMRLTR27,L9-R9,BEFORE,LH,844.44,37.31,31.53,3.28
CMRLTR27,L9-R9,BEFORE,RH,843.6,37.66,33.46,6.78
CMRLTR27,L9-R9,AFTER,LH,838.45,29.02,32.48,9.97
CMRLTR27,L9-R9,AFTER,RH,838.12,28.94,32.22,9.66
CMRLTR27,L10-R10,BEFORE,LH,844.3,37.0,32.64,3.06
CMRLTR27,L10-R10,BEFORE,RH,845.45,36.79,33.49,6.84
CMRLTR27,L10-R10,AFTER,LH,838.93,29.01,32.23,10.04
CMRLTR27,L10-R10,AFTER,RH,838.65,28.97,32.23,9.73
CMRLTR27,L11-R11,BEFORE,LH,845.88,36.6,32.42,3.55
CMRLTR27,L11-R11,BEFORE,RH,845.17,36.78,34.0,7.14
CMRLTR27,L11-R11,AFTER,LH,838.85,29.93,32.43,10.17
CMRLTR27,L11-R11,AFTER,RH,838.74,28.94,32.09,9.71
CMRLTR27,L12-R12,BEFORE,LH,844.28,37.26,31.63,3.32
CMRLTR27,L12-R12,BEFORE,RH,847.2,35.78,32.71,6.87
CMRLTR27,L12-R12,AFTER,LH,837.87,28.96,32.01,10.28
CMRLTR27,L12-R12,AFTER,RH,837.73,28.94,31.87,9.68
CMRLTR27,L13-R13,BEFORE,LH,847.57,35.69,31.48,3.5
CMRLTR27,L13-R13,BEFORE,RH,848.21,35.37,32.84,6.91
CMRLTR27,L13-R13,AFTER,LH,841.97,28.91,32.03,9.66
CMRLTR27,L13-R13,AFTER,RH,841.43,28.9,31.94,9.79
CMRLTR27,L14-R14,BEFORE,LH,848.55,35.19,32.19,4.1
CMRLTR27,L14-R14,BEFORE,RH,848.58,35.42,33.16,6.94
CMRLTR27,L14-R14,AFTER,LH,842.41,29.02,31.97,10.02
CMRLTR27,L14-R14,AFTER,RH,842.43,28.94,31.89,9.68
CMRLTR27,L15-R15,BEFORE,LH,848.26,35.6,32.66,4.19
CMRLTR27,L15-R15,BEFORE,RH,848.34,35.13,32.88,6.52
CMRLTR27,L15-R15,AFTER,LH,841.89,28.98,32.05,10.0
CMRLTR27,L15-R15,AFTER,RH,841.95,28.98,31.95,9.69
CMRLTR27,L16-R16,BEFORE,LH,849.27,35.08,31.45,4.09
CMRLTR27,L16-R16,BEFORE,RH,850.29,34.33,31.93,6.51
CMRLTR27,L16-R16,AFTER,LH,842.58,28.96,32.3,9.95
CMRLTR27,L16-R16,AFTER,RH,842.83,28.97,31.85,9.67
