TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR8,L9-R9,BEFORE,LH,843.85,37.9,30.49,3.03,25.07.2022
CMRLTR8,L9-R9,BEFORE,RH,843.94,37.98,30.73,6.88,25.07.2022
CMRLTR8,L9-R9,AFTER,LH,837.02,28.95,31.24,10.04,29.07.2022
CMRLTR8,L9-R9,AFTER,RH,837.11,28.97,31.23,10.0,29.07.2022
CMRLTR8,L10-R10,BEFORE,LH,844.41,37.57,31.05,3.02,25.07.2022
CMRLTR8,L10-R10,BEFORE,RH,845.22,35.85,33.0,6.46,25.07.2022
CMRLTR8,L10-R10,AFTER,LH,838.01,28.98,31.92,10.4,29.07.2022
CMRLTR8,L10-R10,AFTER,RH,838.09,28.94,31.93,10.0,29.07.2022
CMRLTR8,L11-R11,BEFORE,LH,846.35,36.72,32.23,3.34,25.07.2022
CMRLTR8,L11-R11,BEFORE,RH,844.47,36.24,34.1,7.02,25.07.2022
CMRLTR8,L11-R11,AFTER,LH,839.31,29.09,32.05,10.12,29.07.2022
CMRLTR8,L11-R11,AFTER,RH,839.73,28.92,31.96,9.78,29.07.2022
CMRLTR8,L12-R12,BEFORE,LH,847.31,36.5,30.62,3.18,25.07.2022
CMRLTR8,L12-R12,BEFORE,RH,848.38,36.23,32.23,6.48,25.07.2022
CMRLTR8,L12-R12,AFTER,LH,840.86,29.06,31.82,10.06,29.07.2022
CMRLTR8,L12-R12,AFTER,RH,840.93,28.96,32.07,9.75,29.07.2022
CMRLTR8,L13-R13,BEFORE,LH,848.0,36.34,30.44,3.06,25.07.2022
CMRLTR8,L13-R13,BEFORE,RH,849.21,35.68,33.01,7.0,25.07.2022
CMRLTR8,L13-R13,AFTER,LH,840.97,28.84,31.98,9.97,29.07.2022
CMRLTR8,L13-R13,AFTER,RH,840.96,28.94,32.02,9.79,29.07.2022
CMRLTR8,L14-R14,BEFORE,LH,849.17,35.61,31.06,3.13,25.07.2022
CMRLTR8,L14-R14,BEFORE,RH,848.86,35.25,32.76,6.51,25.07.2022
CMRLTR8,L14-R14,AFTER,LH,841.57,28.95,32.02,10.03,29.07.2022
CMRLTR8,L14-R14,AFTER,RH,841.59,28.97,32.09,9.73,29.07.2022
CMRLTR8,L15-R15,BEFORE,LH,848.33,35.7,32.06,3.79,25.07.2022
CMRLTR8,L15-R15,BEFORE,RH,849.52,35.55,33.58,6.99,25.07.2022
CMRLTR8,L15-R15,AFTER,LH,840.78,29.0,32.01,10.08,29.07.2022
CMRLTR8,L15-R15,AFTER,RH,840.78,28.93,31.95,9.9,29.07.2022
CMRLTR8,L16-R16,BEFORE,LH,849.7,34.95,30.37,3.49,25.07.2022
CMRLTR8,L16-R16,BEFORE,RH,849.19,34.76,32.68,6.81,25.07.2022
CMRLTR8,L16-R16,AFTER,LH,841.55,28.98,31.98,10.05,29.07.2022
CMRLTR8,L16-R16,AFTER,RH,841.63,28.92,31.93,10.1,29.07.2022
CMRLTR8,L8-R8,BEFORE,LH,849.17,35.2,30.26,3.32,25.07.2022
CMRLTR8,L8-R8,BEFORE,RH,848.94,33.99,32.25,6.95,25.07.2022
CMRLTR8,L8-R8,AFTER,LH,840.95,28.97,31.97,10.05,29.07.2022
CMRLTR8,L8-R8,AFTER,RH,841.13,28.96,31.93,10.19,29.07.2022
CMRLTR8,L7-R7,BEFORE,LH,848.82,35.4,31.16,3.12,25.07.2022
CMRLTR8,L7-R7,BEFORE,RH,849.73,35.75,32.48,7.06,25.07.2022
CMRLTR8,L7-R7,AFTER,LH,841.66,28.94,32.01,10.08,29.07.2022
CMRLTR8,L7-R7,AFTER,RH,841.54,29.02,32.06,10.07,29.07.2022
CMRLTR8,L6-R6,BEFORE,LH,849.04,35.14,30.7,2.93,25.07.2022
CMRLTR8,L6-R6,BEFORE,RH,848.11,35.5,33.48,7.06,25.07.2022
CMRLTR8,L6-R6,AFTER,LH,840.84,28.88,31.97,10.08,29.07.2022
CMRLTR8,L6-R6,AFTER,RH,840.92,28.92,31.93,10.03,29.07.2022
CMRLTR8,L5-R5,BEFORE,LH,847.73,35.81,30.7,3.07,25.07.2022
CMRLTR8,L5-R5,BEFORE,RH,848.03,35.41,32.44,6.69,25.07.2022
CMRLTR8,L5-R5,AFTER,LH,840.06,28.89,31.91,10.01,29.07.2022
CMRLTR8,L5-R5,AFTER,RH,840.17,28.91,31.96,10.04,29.07.2022
CMRLTR8,L4-R4,BEFORE,LH,847.87,35.94,31.19,3.58,25.07.2022
CMRLTR8,L4-R4,BEFORE,RH,847.09,36.46,33.22,6.99,25.07.2022
CMRLTR8,L4-R4,AFTER,LH,840.5,28.95,32.15,10.09,29.07.2022
CMRLTR8,L4-R4,AFTER,RH,840.7,28.97,32.04,9.97,29.07.2022
CMRLTR8,L3-R3,BEFORE,LH,847.04,36.18,32.04,3.56,25.07.2022
CMRLTR8,L3-R3,BEFORE,RH,847.95,35.62,33.35,6.93,25.07.2022
CMRLTR8,L3-R3,AFTER,LH,840.06,28.94,32.04,10.03,29.07.2022
CMRLTR8,L3-R3,AFTER,RH,840.74,28.96,31.94,10.01,29.07.2022
