TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR17,L9-R9,BEFORE,LH,843.84,38.68,32.73,3.71,24.11.2022
CMRLTR17,L9-R9,BEFORE,RH,843.94,37.67,32.84,6.83,24.11.2022
CMRLTR17,L9-R9,AFTER,LH,830.83,28.9,31.94,10.27,30.11.2022
CMRLTR17,L9-R9,AFTER,RH,830.67,28.97,31.9,9.99,30.11.2022
CMRLTR17,L10-R10,BEFORE,LH,844.81,37.43,30.84,3.1,24.11.2022
CMRLTR17,L10-R10,BEFORE,RH,844.21,37.0,33.05,6.5,24.11.2022
CMRLTR17,L10-R10,AFTER,LH,831.56,28.97,31.97,10.04,30.11.2022
CMRLTR17,L10-R10,AFTER,RH,831.49,28.9,31.9,9.99,30.11.2022
CMRLTR17,L11-R11,BEFORE,LH,846.98,36.72,32.52,3.0,24.11.2022
CMRLTR17,L11-R11,BEFORE,RH,847.64,35.79,33.48,6.95,24.11.2022
CMRLTR17,L11-R11,AFTER,LH,833.97,28.95,31.99,10.06,30.11.2022
CMRLTR17,L11-R11,AFTER,RH,833.58,28.92,31.99,10.07,30.11.2022
CMRLTR17,L12-R12,BEFORE,LH,848.33,35.72,29.6,2.87,24.11.2022
CMRLTR17,L12-R12,BEFORE,RH,848.86,35.5,31.95,6.6,24.11.2022
CMRLTR17,L12-R12,AFTER,LH,834.73,28.93,31.96,10.07,30.11.2022
CMRLTR17,L12-R12,AFTER,RH,834.73,28.92,31.96,10.01,30.11.2022
CMRLTR17,L13-R13,BEFORE,LH,847.02,37.19,30.45,3.16,24.11.2022
CMRLTR17,L13-R13,BEFORE,RH,847.2,35.99,32.27,6.86,24.11.2022
CMRLTR17,L13-R13,AFTER,LH,834.71,28.89,31.97,10.3,30.11.2022
CMRLTR17,L13-R13,AFTER,RH,834.01,28.92,31.95,10.08,30.11.2022
CMRLTR17,L14-R14,BEFORE,LH,847.1,36.07,30.3,3.0,24.11.2022
CMRLTR17,L14-R14,BEFORE,RH,846.14,36.65,31.0,7.0,24.11.2022
CMRLTR17,L14-R14,AFTER,LH,834.99,28.95,31.92,10.0,30.11.2022
CMRLTR17,L14-R14,AFTER,RH,834.98,28.92,31.91,10.03,30.11.2022
CMRLTR17,L15-R15,BEFORE,LH,847.71,36.04,31.8,3.18,24.11.2022
CMRLTR17,L15-R15,BEFORE,RH,847.44,36.02,33.24,6.9,24.11.2022
CMRLTR17,L15-R15,AFTER,LH,836.84,28.92,31.92,10.3,30.11.2022
CMRLTR17,L15-R15,AFTER,RH,836.75,28.94,31.96,10.06,30.11.2022
CMRLTR17,L16-R16,BEFORE,LH,847.97,35.18,29.96,3.11,24.11.2022
CMRLTR17,L16-R16,BEFORE,RH,848.07,35.24,31.61,6.71,24.11.2022
CMRLTR17,L16-R16,AFTER,LH,837.03,28.93,31.98,10.0,30.11.2022
CMRLTR17,L16-R16,AFTER,RH,836.85,28.91,31.93,10.03,30.11.2022
CMRLTR17,L8-R8,BEFORE,LH,849.02,35.02,29.9,3.09,24.11.2022
CMRLTR17,L8-R8,BEFORE,RH,850.21,34.47,31.5,6.92,24.11.2022
CMRLTR17,L8-R8,AFTER,LH,837.27,28.91,31.94,10.29,30.11.2022
CMRLTR17,L8-R8,AFTER,RH,836.91,28.96,31.9,10.07,30.11.2022
CMRLTR17,L7-R7,BEFORE,LH,848.81,35.74,30.41,3.09,24.11.2022
CMRLTR17,L7-R7,BEFORE,RH,849.59,35.53,30.84,6.66,24.11.2022
CMRLTR17,L7-R7,AFTER,LH,838.11,28.91,32.16,10.36,30.11.2022
CMRLTR17,L7-R7,AFTER,RH,838.28,28.98,31.98,10.05,30.11.2022
CMRLTR17,L6-R6,BEFORE,LH,846.99,36.12,30.67,2.88,24.11.2022
CMRLTR17,L6-R6,BEFORE,RH,846.99,33.1,31.2,6.73,24.11.2022
CMRLTR17,L6-R6,AFTER,LH,838.12,28.93,31.98,10.08,30.11.2022
CMRLTR17,L6-R6,AFTER,RH,838.17,28.97,31.93,10.01,30.11.2022
CMRLTR17,L5-R5,BEFORE,LH,849.69,36.56,29.47,2.82,24.11.2022
CMRLTR17,L5-R5,BEFORE,RH,847.2,35.75,31.92,6.43,24.11.2022
CMRLTR17,L5-R5,AFTER,LH,837.96,28.96,31.97,10.32,30.11.2022
CMRLTR17,L5-R5,AFTER,RH,837.55,29.01,31.92,10.01,30.11.2022
CMRLTR17,L4-R4,BEFORE,LH,845.86,36.68,30.95,3.0,24.11.2022
CMRLTR17,L4-R4,BEFORE,RH,845.74,37.89,33.07,6.8,24.11.2022
CMRLTR17,L4-R4,AFTER,LH,836.74,28.91,31.97,10.04,30.11.2022
CMRLTR17,L4-R4,AFTER,RH,836.58,28.91,31.89,10.02,30.11.2022
CMRLTR17,L3-R3,BEFORE,LH,845.99,36.86,31.47,3.0,24.11.2022
CMRLTR17,L3-R3,BEFORE,RH,847.0,36.36,33.06,6.9,24.11.2022
CMRLTR17,L3-R3,AFTER,LH,836.16,28.96,31.92,10.0,30.11.2022
CMRLTR17,L3-R3,AFTER,RH,836.26,28.9,31.94,9.94,30.11.2022
CMRLTR17,L2-R2,BEFORE,LH,841.11,39.03,32.69,3.15,24.11.2022
CMRLTR17,L2-R2,BEFORE,RH,837.59,37.9,32.82,7.0,24.11.2022
CMRLTR17,L2-R2,AFTER,LH,834.26,28.94,31.95,10.04,30.11.2022
CMRLTR17,L2-R2,AFTER,RH,834.34,28.89,31.95,10.06,30.11.2022
CMRLTR17,L1-R1,BEFORE,LH,841.19,38.86,30.87,3.19,24.11.2022
CMRLTR17,L1-R1,BEFORE,RH,842.7,37.9,32.55,6.44,24.11.2022
CMRLTR17,L1-R1,AFTER,LH,834.12,28.93,31.98,10.02,30.11.2022
CMRLTR17,L1-R1,AFTER,RH,834.03,28.95,31.95,10.02,30.11.2022
