TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
cmrltr2,L9-R9,before,LH,841.94,38.57,30.78,3.23
cmrltr2,L9-R9,before,RH,840.82,39.24,31.51,5.74
cmrltr2,L9-R9,after,LH,836.82,28.94,31.96,10.02
cmrltr2,L9-R9,after,RH,837.04,29.01,31.93,10.05
cmrltr2,L10-R10,before,LH,842.8,38.36,32.39,3.27
cmrltr2,L10-R10,before,RH,842.57,38.39,32.73,5.67
cmrltr2,L10-R10,after,LH,837.22,28.92,31.92,10.06
cmrltr2,L10-R10,after,RH,837.52,29.02,31.98,10.01
cmrltr2,L11-R11,before,LH,845.75,36.65,31.92,3.33
cmrltr2,L11-R11,before,RH,844.11,37.85,32.73,5.89
cmrltr2,L11-R11,after,LH,838.72,28.97,31.99,10.05
cmrltr2,L11-R11,after,RH,838.87,29.02,31.97,10.01
cmrltr2,L12-R12,before,LH,845.8,36.82,30.94,3.43
cmrltr2,L12-R12,before,RH,846.87,36.39,31.78,6.15
cmrltr2,L12-R12,after,LH,838.7,29.04,31.9,10.01
cmrltr2,L12-R12,after,RH,838.76,29.09,31.92,9.99
cmrltr2,L13-R13,before,LH,846.08,36.48,30.57,3.31
cmrltr2,L13-R13,before,RH,845.86,36.96,31.19,5.93
cmrltr2,L13-R13,after,LH,838.11,28.93,31.9,10.02
cmrltr2,L13-R13,after,RH,838.3,29.05,31.95,10.0
cmrltr2,L14-R14,before,LH,847.28,36.13,31.38,3.41
cmrltr2,L14-R14,before,RH,847.41,36.3,32.02,5.78
cmrltr2,L14-R14,after,LH,839.02,28.98,31.9,10.06
cmrltr2,L14-R14,after,RH,839.11,29.0,31.94,10.01
cmrltr2,L15-R15,before,LH,847.83,35.76,32.0,3.86
cmrltr2,L15-R15,before,RH,846.67,36.44,31.97,5.56
cmrltr2,L15-R15,after,LH,840.44,29.0,31.98,10.06
cmrltr2,L15-R15,after,RH,840.73,29.04,31.99,9.97
cmrltr2,L16-R16,before,LH,849.01,35.32,30.49,3.69
cmrltr2,L16-R16,before,RH,848.35,35.36,30.93,5.78
cmrltr2,L16-R16,after,LH,839.76,29.02,31.97,10.04
cmrltr2,L16-R16,after,RH,839.97,29.03,31.96,10.01
cmrltr2,R8-L8,before,LH,848.31,35.5,30.05,3.29
cmrltr2,R8-L8,before,RH,848.71,35.72,31.23,6.22
cmrltr2,R8-L8,after,LH,840.06,28.99,31.9,10.07
cmrltr2,R8-L8,after,RH,840.19,29.02,31.92,9.99
cmrltr2,R7-L7,before,LH,846.21,36.55,31.65,3.07
cmrltr2,R7-L7,before,RH,847.87,35.92,32.8,5.89
cmrltr2,R7-L7,after,LH,840.12,29.01,31.95,10.02
cmrltr2,R7-L7,after,RH,840.41,29.02,31.97,10.02
cmrltr2,R6-L6,before,LH,846.96,36.36,32.05,3.72
cmrltr2,R6-L6,before,RH,845.05,37.34,31.8,5.59
cmrltr2,R6-L6,after,LH,839.0,29.06,31.96,10.07
cmrltr2,R6-L6,after,RH,839.21,29.04,31.91,9.96
cmrltr2,R5-L5,before,LH,846.37,36.51,30.87,3.54
cmrltr2,R5-L5,before,RH,844.39,37.44,30.98,5.73
cmrltr2,R5-L5,after,LH,838.12,29.04,31.95,10.06
cmrltr2,R5-L5,after,RH,838.37,29.06,31.92,9.98
cmrltr2,R4-L4,before,LH,846.56,36.41,31.43,3.69
cmrltr2,R4-L4,before,RH,844.1,38.18,31.49,6.1
cmrltr2,R4-L4,after,LH,832.42,29.01,31.95,10.02
cmrltr2,R4-L4,after,RH,832.54,29.05,32.07,9.98
cmrltr2,R3-L3,before,LH,844.35,37.62,32.95,3.84
cmrltr2,R3-L3,before,RH,845.26,37.12,32.33,5.52
cmrltr2,R3-L3,after,LH,831.78,28.95,31.96,10.05
cmrltr2,R3-L3,after,RH,831.94,29.07,32.01,10.03
cmrltr2,R2-L2,before,LH,840.25,39.67,33.93,4.13
cmrltr2,R2-L2,before,RH,833.28,42.71,32.78,5.43
cmrltr2,R2-L2,after,LH,830.06,29.01,31.98,10.06
cmrltr2,R2-L2,after,RH,830.13,29.06,31.92,10.0
cmrltr2,R1-L1,before,LH,841.1,39.16,32.03,3.68
cmrltr2,R1-L1,before,RH,841.68,38.91,31.4,5.53
cmrltr2,R1-L1,after,LH,831.02,28.99,31.91,10.04
cmrltr2,R1-L1,after,RH,831.11,29.09,31.99,10.02
