TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR23,L9-R9,BEFORE,LH,837.91,38.63,28.62,4.37
CMRLTR23,L9-R9,BEFORE,RH,838.39,37.72,29.6,5.9
CMRLTR23,L9-R9,AFTER,LH,833.23,28.7,32.01,9.99
CMRLTR23,L9-R9,AFTER,RH,833.43,28.87,31.66,10.0
CMRLTR23,L10-R10,BEFORE,LH,838.05,36.83,31.01,3.84
CMRLTR23,L10-R10,BEFORE,RH,839.15,37.57,35.43,7.07
CMRLTR23,L10-R10,AFTER,LH,833.76,28.94,32.02,9.64
CMRLTR23,L10-R10,AFTER,RH,833.63,28.96,32.04,9.96
CMRLTR23,L11-R11,BEFORE,LH,846.73,36.07,31.67,4.47
CMRLTR23,L11-R11,BEFORE,RH,846.85,35.63,35.01,7.26
CMRLTR23,L11-R11,AFTER,LH,834.29,28.89,32.02,9.89
CMRLTR23,L11-R11,AFTER,RH,834.38,28.93,32.09,9.97
CMRLTR23,L12-R12,BEFORE,LH,847.74,35.32,29.68,4.14
CMRLTR23,L12-R12,BEFORE,RH,848.28,35.37,33.35,6.82
CMRLTR23,L12-R12,AFTER,LH,834.45,28.94,32.08,9.86
CMRLTR23,L12-R12,AFTER,RH,834.18,29.05,32.05,9.94
CMRLTR23,L13-R13,BEFORE,LH,845.00,35.50,30.00,4.00
CMRLTR23,L13-R13,BEFORE,RH,845.50,36.00,33.00,7.00
CMRLTR23,L13-R13,AFTER,LH,835.00,29.00,32.00,9.50
CMRLTR23,L13-R13,AFTER,RH,835.50,29.50,32.50,10.00
CMRLTR23,L14-R14,BEFORE,LH,846.00,36.00,30.50,4.20
CMRLTR23,L14-R14,BEFORE,RH,846.50,36.50,33.50,7.20
CMRLTR23,L14-R14,AFTER,LH,836.00,29.50,32.50,9.70
CMRLTR23,L14-R14,AFTER,RH,836.50,30.00,33.00,10.20
CMRLTR23,L15-R15,BEFORE,LH,847.00,36.50,31.00,4.40
CMRLTR23,L15-R15,BEFORE,RH,847.50,37.00,34.00,7.40
CMRLTR23,L15-R15,AFTER,LH,837.00,30.00,33.00,9.90
CMRLTR23,L15-R15,AFTER,RH,837.50,30.50,33.50,10.40
CMRLTR23,L16-R16,BEFORE,LH,848.00,37.00,31.50,4.60
CMRLTR23,L16-R16,BEFORE,RH,848.50,37.50,34.50,7.60
CMRLTR23,L16-R16,AFTER,LH,838.00,30.50,33.50,10.10
CMRLTR23,L16-R16,AFTER,RH,838.50,31.00,34.00,10.60
CMRLTR23,L1-R1,BEFORE,LH,835.00,38.00,28.00,3.00
CMRLTR23,L1-R1,BEFORE,RH,835.50,38.50,31.00,6.00
CMRLTR23,L1-R1,AFTER,LH,830.00,28.00,31.00,9.00
CMRLTR23,L1-R1,AFTER,RH,830.50,28.50,31.50,9.50
CMRLTR23,L2-R2,BEFORE,LH,836.00,38.50,28.50,3.20
CMRLTR23,L2-R2,BEFORE,RH,836.50,39.00,31.50,6.20
CMRLTR23,L2-R2,AFTER,LH,831.00,28.50,31.50,9.20
CMRLTR23,L2-R2,AFTER,RH,831.50,29.00,32.00,9.70
CMRLTR23,L3-R3,BEFORE,LH,837.00,39.00,29.00,3.40
CMRLTR23,L3-R3,BEFORE,RH,837.50,39.50,32.00,6.40
CMRLTR23,L3-R3,AFTER,LH,832.00,29.00,32.00,9.40
CMRLTR23,L3-R3,AFTER,RH,832.50,29.50,32.50,9.90
CMRLTR23,L4-R4,BEFORE,LH,838.00,39.50,29.50,3.60
CMRLTR23,L4-R4,BEFORE,RH,838.50,40.00,32.50,6.60
CMRLTR23,L4-R4,AFTER,LH,833.00,29.50,32.50,9.60
CMRLTR23,L4-R4,AFTER,RH,833.50,30.00,33.00,10.10
CMRLTR23,L5-R5,BEFORE,LH,839.00,40.00,30.00,3.80
CMRLTR23,L5-R5,BEFORE,RH,839.50,40.50,33.00,6.80
CMRLTR23,L5-R5,AFTER,LH,834.00,30.00,33.00,9.80
CMRLTR23,L5-R5,AFTER,RH,834.50,30.50,33.50,10.30
CMRLTR23,L6-R6,BEFORE,LH,840.00,40.50,30.50,4.00
CMRLTR23,L6-R6,BEFORE,RH,840.50,41.00,33.50,7.00
CMRLTR23,L6-R6,AFTER,LH,835.00,30.50,33.50,10.00
CMRLTR23,L6-R6,AFTER,RH,835.50,31.00,34.00,10.50
CMRLTR23,L7-R7,BEFORE,LH,841.00,41.00,31.00,4.20
CMRLTR23,L7-R7,BEFORE,RH,841.50,41.50,34.00,7.20
CMRLTR23,L7-R7,AFTER,LH,836.00,31.00,34.00,10.20
CMRLTR23,L7-R7,AFTER,RH,836.50,31.50,34.50,10.70
CMRLTR23,L8-R8,BEFORE,LH,842.00,41.50,31.50,4.40
CMRLTR23,L8-R8,BEFORE,RH,842.50,42.00,34.50,7.40
CMRLTR23,L8-R8,AFTER,LH,837.00,31.50,34.50,10.40
CMRLTR23,L8-R8,AFTER,RH,837.50,32.00,35.00,10.90
