TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR32,L1-R1,BEFORE,LH,844.88,37.13,30.77,2.97
CMRLTR32,L1-R1,BEFORE,RH,845.38,36.69,32.64,6.28
CMRLTR32,L1-R1,AFTER,LH,837.65,29.01,31.96,10.05
CMRLTR32,L1-R1,AFTER,RH,837.76,28.99,31.97,10.04
CMRLTR32,L2-R2,BEFORE,LH,845.51,35.57,32.24,3.26
CMRLTR32,L2-R2,BEFORE,RH,842.41,38.6,34.05,6.51
CMRLTR32,L2-R2,AFTER,LH,837.82,29.0,32.01,10.06
CMRLTR32,L2-R2,AFTER,RH,837.86,28.97,31.98,10.01
CMRLTR32,L3-R3,BEFORE,LH,847.05,36.18,31.98,3.34
CMRLTR32,L3-R3,BEFORE,RH,848.41,35.21,33.07,6.66
CMRLTR32,L3-R3,AFTER,LH,839.39,29.05,32.0,10.05
CMRLTR32,L3-R3,AFTER,RH,839.46,28.96,31.96,10.03
CMRLTR32,L4-R4,BEFORE,LH,849.06,35.65,30.55,3.3
CMRLTR32,L4-R4,BEFORE,RH,848.66,35.67,32.52,6.36
CMRLTR32,L4-R4,AFTER,LH,839.17,29.02,31.93,9.88
CMRLTR32,L4-R4,AFTER,RH,839.28,29.01,31.96,9.56
CMRLTR32,L5-R5,BEFORE,LH,849.05,35.19,30.26,3.17
CMRLTR32,L5-R5,BEFORE,RH,848.91,34.97,32.18,6.27
CMRLTR32,L5-R5,AFTER,LH,840.37,28.98,32.03,10.02
CMRLTR32,L5-R5,AFTER,RH,840.19,28.91,31.9,9.78
CMRLTR32,L6-R6,BEFORE,LH,848.94,35.11,31.37,3.3
CMRLTR32,L6-R6,BEFORE,RH,848.76,34.9,33.09,6.8
CMRLTR32,L6-R6,AFTER,LH,841.05,28.94,31.83,10.12
CMRLTR32,L6-R6,AFTER,RH,841.03,28.91,31.88,9.83
CMRLTR32,L7-R7,BEFORE,LH,849.75,34.82,31.15,3.31
CMRLTR32,L7-R7,BEFORE,RH,849.61,34.68,32.89,6.64
CMRLTR32,L7-R7,AFTER,LH,841.59,28.89,32.01,10.1
CMRLTR32,L7-R7,AFTER,RH,841.39,28.94,31.97,9.86
CMRLTR32,L8-R8,BEFORE,LH,850.01,34.56,29.7,3.15
CMRLTR32,L8-R8,BEFORE,RH,850.72,34.34,32.28,6.61
CMRLTR32,L8-R8,AFTER,LH,840.65,29.03,31.89,10.35
CMRLTR32,L8-R8,AFTER,RH,840.45,28.82,31.94,10.03
CMRLTR32,L9-R9,BEFORE,LH,846.06,36.44,30.73,3.01
CMRLTR32,L9-R9,BEFORE,RH,846.27,36.28,33.11,6.49
CMRLTR32,L9-R9,AFTER,LH,843.72,29.0,31.98,10.01
CMRLTR32,L9-R9,AFTER,RH,843.65,28.96,31.99,10.04
CMRLTR32,L10-R10,BEFORE,LH,845.71,36.78,31.45,2.93
CMRLTR32,L10-R10,BEFORE,RH,846.72,36.09,33.16,6.33
CMRLTR32,L10-R10,AFTER,LH,843.57,29.1,31.93,10.06
CMRLTR32,L10-R10,AFTER,RH,843.26,28.96,31.93,10.03
CMRLTR32,L11-R11,BEFORE,LH,848.57,35.57,31.72,3.37
CMRLTR32,L11-R11,BEFORE,RH,847.92,35.43,33.48,7.0
CMRLTR32,L11-R11,AFTER,LH,843.68,29.0,31.98,10.01
CMRLTR32,L11-R11,AFTER,RH,843.41,28.96,32.0,10.04
CMRLTR32,L12-R12,BEFORE,LH,849.47,35.59,30.15,3.09
CMRLTR32,L12-R12,BEFORE,RH,849.82,35.23,32.08,6.24
CMRLTR32,L12-R12,AFTER,LH,843.18,29.0,31.93,10.06
CMRLTR32,L12-R12,AFTER,RH,843.11,29.0,31.9,9.77
CMRLTR32,L13-R13,BEFORE,LH,847.72,35.75,30.78,3.29
CMRLTR32,L13-R13,BEFORE,RH,848.84,35.01,32.75,6.71
CMRLTR32,L13-R13,AFTER,LH,840.52,28.92,31.89,10.05
CMRLTR32,L13-R13,AFTER,RH,840.38,28.96,31.89,9.81
CMRLTR32,L14-R14,BEFORE,LH,849.11,35.06,31.73,3.62
CMRLTR32,L14-R14,BEFORE,RH,848.12,35.18,32.79,6.41
CMRLTR32,L14-R14,AFTER,LH,840.72,28.95,31.94,10.12
CMRLTR32,L14-R14,AFTER,RH,840.6,28.97,31.92,9.75
CMRLTR32,L15-R15,BEFORE,LH,848.92,35.16,31.42,3.33
CMRLTR32,L15-R15,BEFORE,RH,849.42,34.72,32.82,6.79
CMRLTR32,L15-R15,AFTER,LH,839.95,29.02,32.0,10.01
CMRLTR32,L15-R15,AFTER,RH,839.89,28.98,31.96,10.04
CMRLTR32,L16-R16,BEFORE,LH,850.25,34.61,30.18,3.38
CMRLTR32,L16-R16,BEFORE,RH,850.39,34.24,31.8,6.34
CMRLTR32,L16-R16,AFTER,LH,839.94,29.02,31.96,10.29
CMRLTR32,L16-R16,AFTER,RH,839.85,29.01,31.93,10.22
