TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR14,L9-R9,BEFORE,LH,857.41,31.07,29.77,4.4
CMRLTR14,L9-R9,BEFORE,RH,857.75,30.66,30.34,5.15
CMRLTR14,L9-R9,AFTER,LH,842.89,29.03,31.94,10.36
CMRLTR14,L9-R9,AFTER,RH,843.15,28.99,31.94,9.99
CMRLTR14,L10-R10,BEFORE,LH,858.7,30.68,30.87,5.87
CMRLTR14,L10-R10,BEFORE,RH,858.43,30.54,31.2,7.09
CMRLTR14,L10-R10,AFTER,LH,847.87,29.03,31.89,10.29
CMRLTR14,L10-R10,AFTER,RH,844.12,28.96,31.9,10.01
CMRLTR14,L11-R11,BEFORE,LH,858.23,30.67,30.49,5.64
CMRLTR14,L11-R11,BEFORE,RH,858.43,31.42,30.45,7.46
CMRLTR14,L11-R11,AFTER,LH,845.5,28.99,31.98,10.01
CMRLTR14,L11-R11,AFTER,RH,845.74,28.92,31.99,10.02
CMRLTR14,L12-R12,BEFORE,LH,858.03,30.49,29.26,4.56
CMRLTR14,L12-R12,BEFORE,RH,858.91,30.91,30.71,7.08
CMRLTR14,L12-R12,AFTER,LH,844.73,29.0,31.95,10.03
CMRLTR14,L12-R12,AFTER,RH,844.73,28.96,31.97,10.05
CMRLTR14,L13-R13,BEFORE,LH,858.78,30.44,29.08,5.49
CMRLTR14,L13-R13,BEFORE,RH,859.24,30.5,30.4,6.9
CMRLTR14,L13-R13,AFTER,LH,834.01,29.0,31.82,10.3
CMRLTR14,L13-R13,AFTER,RH,843.78,28.97,31.95,10.02
CMRLTR14,L14-R14,BEFORE,LH,859.92,30.3,29.77,5.37
CMRLTR14,L14-R14,BEFORE,RH,859.19,30.0,30.5,6.87
CMRLTR14,L14-R14,AFTER,LH,834.06,29.03,31.91,10.26
CMRLTR14,L14-R14,AFTER,RH,843.23,28.94,31.92,10.01
CMRLTR14,L15-R15,BEFORE,LH,848.91,30.66,30.08,5.37
CMRLTR14,L15-R15,BEFORE,RH,848.73,30.13,30.77,6.7
CMRLTR14,L15-R15,AFTER,LH,831.77,29.03,31.97,10.03
CMRLTR14,L15-R15,AFTER,RH,831.12,28.96,31.94,10.04
CMRLTR14,L16-R16,BEFORE,LH,847.42,30.24,28.88,4.38
CMRLTR14,L16-R16,BEFORE,RH,847.14,29.89,29.6,6.46
CMRLTR14,L16-R16,AFTER,LH,830.32,29.01,31.98,10.05
CMRLTR14,L16-R16,AFTER,RH,830.67,28.94,31.93,10.0
CMRLTR14,R8-L8,BEFORE,LH,852.21,30.3,29.45,4.77
CMRLTR14,R8-L8,BEFORE,RH,851.36,30.16,29.76,6.53
CMRLTR14,R8-L8,AFTER,LH,840.2,29.0,31.95,10.37
CMRLTR14,R8-L8,AFTER,RH,840.12,28.97,31.94,10.02
CMRLTR14,R7-L7,BEFORE,LH,854.66,30.93,29.63,4.98
CMRLTR14,R7-L7,BEFORE,RH,854.34,30.76,30.16,6.61
CMRLTR14,R7-L7,AFTER,LH,841.14,29.0,31.98,10.35
CMRLTR14,R7-L7,AFTER,RH,841.03,28.93,31.98,10.03
CMRLTR14,R6-L6,BEFORE,LH,859.96,30.14,30.15,5.97
CMRLTR14,R6-L6,BEFORE,RH,859.75,30.3,31.23,7.59
CMRLTR14,R6-L6,AFTER,LH,842.98,29.0,31.98,10.01
CMRLTR14,R6-L6,AFTER,RH,843.01,28.93,31.92,10.02
CMRLTR14,R5-L5,BEFORE,LH,859.21,30.31,28.78,4.3
CMRLTR14,R5-L5,BEFORE,RH,859.06,30.0,30.36,6.74
CMRLTR14,R5-L5,AFTER,LH,842.22,29.0,31.95,10.02
CMRLTR14,R5-L5,AFTER,RH,842.2,28.97,31.92,10.03
CMRLTR14,R4-L4,BEFORE,LH,858.04,30.57,30.24,5.05
CMRLTR14,R4-L4,BEFORE,RH,858.05,30.37,31.07,6.38
CMRLTR14,R4-L4,AFTER,LH,843.0,29.03,31.9,10.04
CMRLTR14,R4-L4,AFTER,RH,843.23,28.93,31.88,10.01
CMRLTR14,R3-L3,BEFORE,LH,858.62,30.45,28.9,5.8
CMRLTR14,R3-L3,BEFORE,RH,858.75,30.31,30.68,6.69
CMRLTR14,R3-L3,AFTER,LH,843.44,29.01,31.92,10.3
CMRLTR14,R3-L3,AFTER,RH,843.65,28.92,31.93,9.97
CMRLTR14,R2-L2,BEFORE,LH,858.03,30.78,30.62,6.0
CMRLTR14,R2-L2,BEFORE,RH,858.0,30.63,31.0,7.52
CMRLTR14,R2-L2,AFTER,LH,842.21,29.03,31.89,10.06
CMRLTR14,R2-L2,AFTER,RH,842.04,28.97,32.11,10.08
CMRLTR14,R1-L1,BEFORE,LH,857.16,30.37,28.59,4.11
CMRLTR14,R1-L1,BEFORE,RH,857.85,30.62,30.41,6.73
CMRLTR14,R1-L1,AFTER,LH,841.04,28.97,31.97,10.28
CMRLTR14,R1-L1,AFTER,RH,841.13,28.92,31.97,9.95
