TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR35,L1-R1,BEFORE,LH,844.38,37.23,31.53,3.54,15.04.2023
CMRLTR35,L1-R1,BEFORE,RH,844.71,37.24,32.02,5.69,15.04.2023
CMRLTR35,L1-R1,AFTER,LH,838.54,29.01,31.96,10.06,18.04.2023
CMRLTR35,L1-R1,AFTER,RH,838.47,29.01,31.97,9.99,18.04.2023
CMRLTR35,L2-R2,BEFORE,LH,844.08,37.66,32.68,3.51,15.04.2023
CMRLTR35,L2-R2,BEFORE,RH,839.22,39.96,33.73,5.69,15.04.2023
CMRLTR35,L2-R2,AFTER,LH,837.84,28.93,31.93,10.09,18.04.2023
CMRLTR35,L2-R2,AFTER,RH,837.67,28.96,31.97,10.02,18.04.2023
CMRLTR35,L3-R3,BEFORE,LH,847.24,35.94,32.12,2.68,15.04.2023
CMRLTR35,L3-R3,BEFORE,RH,847.73,35.84,32.89,6.29,15.04.2023
CMRLTR35,L3-R3,AFTER,LH,839.07,28.95,31.98,10.06,18.04.2023
CMRLTR35,L3-R3,AFTER,RH,838.93,29.04,32.01,10.03,18.04.2023
CMRLTR35,L4-R4,BEFORE,LH,848.35,35.3,30.54,3.35,15.04.2023
CMRLTR35,L4-R4,BEFORE,RH,847.31,38.7,32.22,6.26,15.04.2023
CMRLTR35,L4-R4,AFTER,LH,838.24,28.94,31.93,10.09,18.04.2023
CMRLTR35,L4-R4,AFTER,RH,838.09,29.03,31.96,10.02,18.04.2023
CMRLTR35,L5-R5,BEFORE,LH,847.71,35.75,30.99,3.75,15.04.2023
CMRLTR35,L5-R5,BEFORE,RH,848.37,35.7,31.88,6.14,15.04.2023
CMRLTR35,L5-R5,AFTER,LH,839.55,28.99,31.97,10.05,18.04.2023
CMRLTR35,L5-R5,AFTER,RH,839.47,29.08,31.91,9.99,18.04.2023
CMRLTR35,L6-R6,BEFORE,LH,848.19,35.49,31.45,3.33,15.04.2023
CMRLTR35,L6-R6,BEFORE,RH,848.42,35.6,32.52,6.15,15.04.2023
CMRLTR35,L6-R6,AFTER,LH,839.11,28.91,31.81,10.42,18.04.2023
CMRLTR35,L6-R6,AFTER,RH,839.07,28.98,31.96,9.99,18.04.2023
CMRLTR35,L7-R7,BEFORE,LH,849.07,35.02,31.38,3.44,15.04.2023
CMRLTR35,L7-R7,BEFORE,RH,849.87,34.91,32.62,6.4,15.04.2023
CMRLTR35,L7-R7,AFTER,LH,837.21,28.98,31.95,10.34,18.04.2023
CMRLTR35,L7-R7,AFTER,RH,837.19,29.01,31.9,10.01,18.04.2023
CMRLTR35,L8-R8,BEFORE,LH,849.87,34.55,29.73,3.3,15.04.2023
CMRLTR35,L8-R8,BEFORE,RH,850.0,32.98,31.86,6.38,15.04.2023
CMRLTR35,L8-R8,AFTER,LH,836.39,28.97,31.91,10.03,18.04.2023
