TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR29,L1-R1,BEFORE,LH,842.92,38.07,30.34,3.01
CMRLTR29,L1-R1,BEFORE,RH,842.69,38.03,31.75,5.56
CMRLTR29,L1-R1,AFTER,LH,834.81,28.78,32.32,10.74
CMRLTR29,L1-R1,AFTER,RH,835.03,28.84,31.84,9.81
CMRLTR29,L2-R2,BEFORE,LH,842.84,38.01,32.08,3.16
CMRLTR29,L2-R2,BEFORE,RH,840.16,39.12,32.84,5.65
CMRLTR29,L2-R2,AFTER,LH,835.25,28.86,31.86,10.45
CMRLTR29,L2-R2,AFTER,RH,835.34,28.84,31.79,9.86
CMRLTR29,L3-R3,BEFORE,LH,845.22,36.87,31.55,3.06
CMRLTR29,L3-R3,BEFORE,RH,845.54,36.56,32.22,5.63
CMRLTR29,L3-R3,AFTER,LH,836.01,28.83,32.05,10.05
CMRLTR29,L3-R3,AFTER,RH,836.03,28.74,31.78,9.45
CMRLTR29,L4-R4,BEFORE,LH,846.46,36.14,30.43,3.31
CMRLTR29,L4-R4,BEFORE,RH,844.09,37.31,31.79,5.77
CMRLTR29,L4-R4,AFTER,LH,835.91,28.81,31.89,10.46
CMRLTR29,L4-R4,AFTER,RH,836.07,28.85,31.72,9.81
CMRLTR29,L5-R5,BEFORE,LH,846.99,35.85,29.8,3.08
CMRLTR29,L5-R5,BEFORE,RH,846.88,36.01,31.75,6.01
CMRLTR29,L5-R5,AFTER,LH,835.31,28.78,31.72,10.22
CMRLTR29,L5-R5,AFTER,RH,835.21,28.71,31.79,9.84
CMRLTR29,L6-R6,BEFORE,LH,847.61,35.53,30.65,3.02
CMRLTR29,L6-R6,BEFORE,RH,847.51,35.81,32.27,5.74
CMRLTR29,L6-R6,AFTER,LH,836.06,28.89,31.72,10.21
CMRLTR29,L6-R6,AFTER,RH,836.17,28.78,31.8,9.88
CMRLTR29,L7-R7,BEFORE,LH,847.4,35.7,30.82,3.01
CMRLTR29,L7-R7,BEFORE,RH,847.97,35.34,32.32,5.78
CMRLTR29,L7-R7,AFTER,LH,836.96,28.8,31.8,10.2
CMRLTR29,L7-R7,AFTER,RH,837.21,28.89,31.81,9.84
CMRLTR29,L8-R8,BEFORE,LH,847.88,35.25,29.41,3.02
CMRLTR29,L8-R8,BEFORE,RH,849.03,35.03,31.06,5.92
CMRLTR29,L8-R8,AFTER,LH,836.08,28.87,31.95,10.49
CMRLTR29,L8-R8,AFTER,RH,836.21,29.01,31.79,9.86
CMRLTR29,L9-R9,BEFORE,LH,843.02,37.54,30.12,3.03
CMRLTR29,L9-R9,BEFORE,RH,841.44,38.7,38.86,5.65
CMRLTR29,L9-R9,AFTER,LH,835.12,28.83,31.95,10.48
CMRLTR29,L9-R9,AFTER,RH,834.8,28.79,31.97,9.81
CMRLTR29,L10-R10,BEFORE,LH,842.7,37.81,31.02,3.13
CMRLTR29,L10-R10,BEFORE,RH,843.34,37.66,32.48,5.85
CMRLTR29,L10-R10,AFTER,LH,834.78,28.78,32.25,10.44
CMRLTR29,L10-R10,AFTER,RH,834.76,28.86,32.22,9.75
CMRLTR29,L11-R11,BEFORE,LH,846.22,36.07,31.25,3.01
CMRLTR29,L11-R11,BEFORE,RH,844.66,36.94,32.39,5.59
CMRLTR29,L11-R11,AFTER,LH,834.58,29.09,31.87,10.63
CMRLTR29,L11-R11,AFTER,RH,834.6,28.91,31.78,9.91
CMRLTR29,L12-R12,BEFORE,LH,846.7,36.02,29.35,3.23
CMRLTR29,L12-R12,BEFORE,RH,847.45,35.48,31.06,5.92
CMRLTR29,L12-R12,AFTER,LH,834.02,28.76,32.06,10.63
CMRLTR29,L12-R12,AFTER,RH,834.04,28.72,31.72,9.85
CMRLTR29,L13-R13,BEFORE,LH,845.62,36.2,29.74,2.99
CMRLTR29,L13-R13,BEFORE,RH,846.79,36.02,31.64,5.84
CMRLTR29,L13-R13,AFTER,LH,836.8,28.71,31.7,10.23
CMRLTR29,L13-R13,AFTER,RH,836.78,28.91,31.69,9.88
CMRLTR29,L14-R14,BEFORE,LH,846.88,36.06,31.03,3.01
CMRLTR29,L14-R14,BEFORE,RH,846.12,36.21,32.32,5.9
CMRLTR29,L14-R14,AFTER,LH,837.57,28.79,31.71,10.22
CMRLTR29,L14-R14,AFTER,RH,837.51,28.82,31.82,9.83
CMRLTR29,L15-R15,BEFORE,LH,847.16,35.58,31.25,3.13
CMRLTR29,L15-R15,BEFORE,RH,845.02,36.85,32.09,5.43
CMRLTR29,L15-R15,AFTER,LH,836.01,28.84,31.79,10.15
CMRLTR29,L15-R15,AFTER,RH,836.19,28.82,31.73,9.81
CMRLTR29,L16-R16,BEFORE,LH,848.37,35.2,29.4,3.22
CMRLTR29,L16-R16,BEFORE,RH,847.41,35.53,30.82,5.75
CMRLTR29,L16-R16,AFTER,LH,835.34,28.72,31.73,10.51
CMRLTR29,L16-R16,AFTER,RH,835.48,28.79,31.77,31.86
