TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR41,L1-R1,BEFORE,LH,845.05,37.15,31.4,3.1
CMRLTR41,L1-R1,BEFORE,RH,844.5,37.3,32.0,5.5
CMRLTR41,L1-R1,AFTER,LH,838.2,28.9,32.1,9.8
CMRLTR41,L1-R1,AFTER,RH,838.3,28.8,32.2,9.5
CMRLTR41,L2-R2,BEFORE,LH,844.5,37.5,32.8,3.4
CMRLTR41,L2-R2,BEFORE,RH,840.1,39.7,33.5,5.7
CMRLTR41,L2-R2,AFTER,LH,837.7,29.1,32.0,9.9
CMRLTR41,L2-R2,AFTER,RH,837.6,28.9,31.9,9.6
CMRLTR41,L3-R3,BEFORE,LH,847.7,36.1,32.0,2.8
CMRLTR41,L3-R3,BEFORE,RH,847.5,35.9,33.0,6.0
CMRLTR41,L3-R3,AFTER,LH,839.5,29.0,31.9,9.8
CMRLTR41,L3-R3,AFTER,RH,839.4,29.1,32.1,9.7
CMRLTR41,L4-R4,BEFORE,LH,848.9,35.4,30.5,3.3
CMRLTR41,L4-R4,BEFORE,RH,847.8,36.4,32.3,6.2
CMRLTR41,L4-R4,AFTER,LH,838.8,28.9,31.9,10.2
CMRLTR41,L4-R4,AFTER,RH,838.7,29.0,31.8,9.9
CMRLTR41,L5-R5,BEFORE,LH,847.1,35.9,31.0,3.5
CMRLTR41,L5-R5,BEFORE,RH,846.8,36.0,32.5,6.1
CMRLTR41,L5-R5,AFTER,LH,839.5,29.0,32.0,9.8
CMRLTR41,L5-R5,AFTER,RH,839.4,29.1,31.9,9.7
CMRLTR41,L6-R6,BEFORE,LH,845.8,36.8,31.7,3.2
CMRLTR41,L6-R6,BEFORE,RH,847.5,36.3,32.6,5.9
CMRLTR41,L6-R6,AFTER,LH,840.0,28.9,31.9,9.9
CMRLTR41,L6-R6,AFTER,RH,839.8,29.0,32.0,9.6
CMRLTR41,L7-R7,BEFORE,LH,848.6,35.6,30.1,3.4
CMRLTR41,L7-R7,BEFORE,RH,848.4,35.8,32.8,6.1
CMRLTR41,L7-R7,AFTER,LH,838.9,29.0,32.0,10.1
CMRLTR41,L7-R7,AFTER,RH,838.8,29.0,31.9,9.8
CMRLTR41,L8-R8,BEFORE,LH,849.6,35.1,30.2,3.3
CMRLTR41,L8-R8,BEFORE,RH,850.1,35.2,31.6,6.3
CMRLTR41,L8-R8,AFTER,LH,838.7,29.1,32.1,10.1
CMRLTR41,L8-R8,AFTER,RH,839.0,29.0,32.0,9.9
CMRLTR41,L9-R9,BEFORE,LH,844.0,37.9,31.2,3.2
CMRLTR41,L9-R9,BEFORE,RH,842.5,38.5,32.4,5.8
CMRLTR41,L9-R9,AFTER,LH,839.7,28.9,32.6,9.9
CMRLTR41,L9-R9,AFTER,RH,839.8,29.1,32.0,9.6
CMRLTR41,L10-R10,BEFORE,LH,843.7,37.9,31.9,3.3
CMRLTR41,L10-R10,BEFORE,RH,844.7,37.9,33.0,5.7
CMRLTR41,L10-R10,AFTER,LH,839.8,29.0,32.2,9.9
CMRLTR41,L10-R10,AFTER,RH,839.7,29.0,32.3,9.6
CMRLTR41,L11-R11,BEFORE,LH,847.3,36.0,31.5,3.1
CMRLTR41,L11-R11,BEFORE,RH,847.2,36.6,33.0,6.0
CMRLTR41,L11-R11,AFTER,LH,838.7,29.0,32.0,10.3
CMRLTR41,L11-R11,AFTER,RH,838.8,29.1,31.9,10.0
CMRLTR41,L12-R12,BEFORE,LH,846.7,36.4,29.3,3.2
CMRLTR41,L12-R12,BEFORE,RH,848.3,35.8,32.0,6.1
CMRLTR41,L12-R12,AFTER,LH,837.8,29.0,31.9,10.3
CMRLTR41,L12-R12,AFTER,RH,837.9,29.1,31.8,10.0
CMRLTR41,L13-R13,BEFORE,LH,847.2,36.1,29.5,3.2
CMRLTR41,L13-R13,BEFORE,RH,848.1,35.8,31.7,5.9
CMRLTR41,L13-R13,AFTER,LH,838.7,28.9,31.9,10.3
CMRLTR41,L13-R13,AFTER,RH,838.8,29.0,32.0,10.1
CMRLTR41,L14-R14,BEFORE,LH,848.1,35.6,31.4,3.3
CMRLTR41,L14-R14,BEFORE,RH,848.4,35.8,32.4,5.8
CMRLTR41,L14-R14,AFTER,LH,839.5,29.0,31.9,10.2
CMRLTR41,L14-R14,AFTER,RH,839.3,29.0,31.9,9.9
CMRLTR41,L15-R15,BEFORE,LH,848.7,35.4,31.6,3.5
CMRLTR41,L15-R15,BEFORE,RH,848.4,35.7,32.0,5.7
CMRLTR41,L15-R15,AFTER,LH,839.2,28.9,31.9,10.3
CMRLTR41,L15-R15,AFTER,RH,839.3,29.0,32.0,10.0
CMRLTR41,L16-R16,BEFORE,LH,849.7,35.0,30.2,3.6
CMRLTR41,L16-R16,BEFORE,RH,849.2,35.3,31.6,5.9
CMRLTR41,L16-R16,AFTER,LH,838.9,28.9,32.0,10.3
CMRLTR41,L16-R16,AFTER,RH,839.0,29.0,32.0,10.0
