TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR18,L9-R9,BEFORE,LH,844.85,31.01,33.25,2.88
CMRLTR18,L9-R9,BEFORE,RH,843.98,31.01,33.9,7.21
CMRLTR18,L9-R9,AFTER,LH,838.37,29.1,31.94,10.39
CMRLTR18,L9-R9,AFTER,RH,838.51,29.1,31.94,9.94
CMRLTR18,L10-R10,BEFORE,LH,844.7,31.39,33.78,3.1
CMRLTR18,L10-R10,BEFORE,RH,844.72,31.39,33.78,7.0
CMRLTR18,L10-R10,AFTER,LH,838.2,29.1,31.92,10.37
CMRLTR18,L10-R10,AFTER,RH,838.2,29.1,31.95,9.94
CMRLTR18,L11-R11,BEFORE,LH,846.78,30.48,33.47,3.12
CMRLTR18,L11-R11,BEFORE,RH,846.77,30.48,33.65,6.97
CMRLTR18,L11-R11,AFTER,LH,839.76,29.06,31.95,10.36
CMRLTR18,L11-R11,AFTER,RH,839.78,29.0,31.95,10.0
CMRLTR18,L12-R12,BEFORE,LH,846.89,30.12,33.73,3.0
CMRLTR18,L12-R12,BEFORE,RH,846.7,30.12,32.97,6.96
CMRLTR18,L12-R12,AFTER,LH,840.2,29.0,31.99,10.34
CMRLTR18,L12-R12,AFTER,RH,840.26,29.0,31.9,9.99
CMRLTR18,L13-R13,BEFORE,LH,846.57,30.08,32.43,3.0
CMRLTR18,L13-R13,BEFORE,RH,846.7,30.08,32.43,7.0
CMRLTR18,L13-R13,AFTER,LH,843.07,29.1,32.07,10.0
CMRLTR18,L13-R13,AFTER,RH,843.05,29.1,31.97,9.97
CMRLTR18,L14-R14,BEFORE,LH,846.91,30.18,31.65,3.0
CMRLTR18,L14-R14,BEFORE,RH,847.84,30.18,33.1,7.0
CMRLTR18,L14-R14,AFTER,LH,840.82,29.0,32.07,10.0
CMRLTR18,L14-R14,AFTER,RH,840.81,29.1,31.94,9.99
CMRLTR18,L15-R15,BEFORE,LH,848.1,30.19,31.82,3.0
CMRLTR18,L15-R15,BEFORE,RH,848.4,30.19,33.29,7.39
CMRLTR18,L15-R15,AFTER,LH,843.58,29.11,31.99,10.0
CMRLTR18,L15-R15,AFTER,RH,843.57,29.1,31.97,9.97
CMRLTR18,L16-R16,BEFORE,LH,850.68,30.03,32.39,3.0
CMRLTR18,L16-R16,BEFORE,RH,849.36,30.03,32.39,7.0
CMRLTR18,L16-R16,AFTER,LH,840.7,29.0,31.98,10.0
CMRLTR18,L16-R16,AFTER,RH,840.73,29.1,31.98,9.96
CMRLTR18,L8-R8,BEFORE,LH,848.81,30.4,32.3,3.0
CMRLTR18,L8-R8,BEFORE,RH,850.25,30.4,32.27,6.92
CMRLTR18,L8-R8,AFTER,LH,846.54,29.0,31.89,10.0
CMRLTR18,L8-R8,AFTER,RH,846.56,29.0,31.96,9.9
CMRLTR18,L7-R7,BEFORE,LH,848.87,30.94,33.38,3.0
CMRLTR18,L7-R7,BEFORE,RH,849.41,30.94,33.38,7.27
CMRLTR18,L7-R7,AFTER,LH,845.96,29.0,31.89,10.0
CMRLTR18,L7-R7,AFTER,RH,839.89,29.1,31.89,9.9
CMRLTR18,L6-R6,BEFORE,LH,847.25,31.9,33.41,3.0
CMRLTR18,L6-R6,BEFORE,RH,847.03,31.9,33.41,7.37
CMRLTR18,L6-R6,AFTER,LH,844.21,29.0,31.93,10.0
CMRLTR18,L6-R6,AFTER,RH,844.74,29.0,31.93,9.9
CMRLTR18,L5-R5,BEFORE,LH,846.33,29.85,32.97,3.0
CMRLTR18,L5-R5,BEFORE,RH,847.96,29.85,32.97,7.22
CMRLTR18,L5-R5,AFTER,LH,833.6,29.0,31.93,10.0
CMRLTR18,L5-R5,AFTER,RH,833.65,29.1,31.77,9.9
CMRLTR18,L4-R4,BEFORE,LH,847.88,30.79,32.05,3.0
CMRLTR18,L4-R4,BEFORE,RH,847.05,30.79,32.42,7.11
CMRLTR18,L4-R4,AFTER,LH,841.55,29.0,31.98,10.0
CMRLTR18,L4-R4,AFTER,RH,841.48,29.1,31.98,9.9
CMRLTR18,L3-R3,BEFORE,LH,847.84,31.99,33.65,3.0
CMRLTR18,L3-R3,BEFORE,RH,847.81,31.99,33.65,7.0
CMRLTR18,L3-R3,AFTER,LH,840.9,29.0,31.97,10.0
CMRLTR18,L3-R3,AFTER,RH,840.67,29.1,31.92,9.97
CMRLTR18,L2-R2,BEFORE,LH,844.24,32.43,34.91,3.0
CMRLTR18,L2-R2,BEFORE,RH,844.21,32.43,34.91,7.0
CMRLTR18,L2-R2,AFTER,LH,839.09,29.0,31.99,10.0
CMRLTR18,L2-R2,AFTER,RH,839.14,29.0,31.99,9.9
CMRLTR18,L1-R1,BEFORE,LH,843.88,30.67,32.95,3.0
CMRLTR18,L1-R1,BEFORE,RH,843.82,30.67,32.95,7.0
CMRLTR18,L1-R1,AFTER,LH,839.85,29.0,31.97,10.0
CMRLTR18,L1-R1,AFTER,RH,839.8,29.0,31.9,9.9
