TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR20,L9-R9,BEFORE,LH,845.00,38.00,32.00,4.00
CMRLTR20,L9-R9,BEFORE,RH,845.50,38.50,32.50,6.00
CMRLTR20,L9-R9,AFTER,LH,835.00,29.00,31.00,10.00
CMRLTR20,L9-R9,AFTER,RH,835.50,29.50,31.50,9.50
CMRLTR20,L10-R10,BEFORE,LH,846.00,37.00,31.00,3.50
CMRLTR20,L10-R10,BEFORE,RH,846.50,37.50,31.50,5.50
CMRLTR20,L10-R10,AFTER,LH,836.00,28.50,30.50,10.50
CMRLTR20,L10-R10,AFTER,RH,836.50,29.00,31.00,9.80
CMRLTR20,L11-R11,BEFORE,LH,847.00,36.00,30.00,3.00
CMRLTR20,L11-R11,BEFORE,RH,847.50,36.50,30.50,5.00
CMRLTR20,L11-R11,AFTER,LH,837.00,28.00,30.00,10.20
CMRLTR20,L11-R11,AFTER,RH,837.50,28.50,30.50,9.70
CMRLTR20,L12-R12,BEFORE,LH,848.00,35.00,29.00,3.20
CMRLTR20,L12-R12,BEFORE,RH,848.50,35.50,29.50,5.20
CMRLTR20,L12-R12,AFTER,LH,838.00,27.50,29.50,10.30
CMRLTR20,L12-R12,AFTER,RH,838.50,28.00,30.00,9.60
CMRLTR20,L13-R13,BEFORE,LH,849.00,34.00,28.00,3.40
CMRLTR20,L13-R13,BEFORE,RH,849.50,34.50,28.50,5.40
CMRLTR20,L13-R13,AFTER,LH,839.00,27.00,29.00,10.40
CMRLTR20,L13-R13,AFTER,RH,839.50,27.50,29.50,9.90
CMRLTR20,L14-R14,BEFORE,LH,850.00,33.00,27.00,3.60
CMRLTR20,L14-R14,BEFORE,RH,850.50,33.50,27.50,5.60
CMRLTR20,L14-R14,AFTER,LH,840.00,26.50,28.50,10.10
CMRLTR20,L14-R14,AFTER,RH,840.50,27.00,29.00,9.40
CMRLTR20,L15-R15,BEFORE,LH,851.00,32.00,26.00,3.80
CMRLTR20,L15-R15,BEFORE,RH,851.50,32.50,26.50,5.80
CMRLTR20,L15-R15,AFTER,LH,841.00,26.00,28.00,10.60
CMRLTR20,L15-R15,AFTER,RH,841.50,26.50,28.50,9.30
CMRLTR20,L16-R16,BEFORE,LH,852.00,31.00,25.00,4.20
CMRLTR20,L16-R16,BEFORE,RH,852.50,31.50,25.50,6.20
CMRLTR20,L16-R16,AFTER,LH,842.00,25.50,27.50,10.70
CMRLTR20,L16-R16,AFTER,RH,842.50,26.00,28.00,9.20
CMRLTR20,L8-R8,BEFORE,LH,844.00,37.00,31.00,3.90
CMRLTR20,L8-R8,BEFORE,RH,844.50,37.50,31.50,5.90
CMRLTR20,L8-R8,AFTER,LH,834.00,28.00,30.00,10.10
CMRLTR20,L8-R8,AFTER,RH,834.50,28.50,30.50,9.40
CMRLTR20,L7-R7,BEFORE,LH,845.00,36.00,30.00,3.10
CMRLTR20,L7-R7,BEFORE,RH,845.50,36.50,30.50,5.10
CMRLTR20,L7-R7,AFTER,LH,835.00,27.50,29.50,10.20
CMRLTR20,L7-R7,AFTER,RH,835.50,28.00,30.00,9.80
CMRLTR20,L6-R6,BEFORE,LH,846.00,35.00,29.00,3.30
CMRLTR20,L6-R6,BEFORE,RH,846.50,35.50,29.50,5.30
CMRLTR20,L6-R6,AFTER,LH,836.00,27.00,29.00,10.30
CMRLTR20,L6-R6,AFTER,RH,836.50,27.50,29.50,9.70
CMRLTR20,L5-R5,BEFORE,LH,847.00,34.00,28.00,3.50
CMRLTR20,L5-R5,BEFORE,RH,847.50,34.50,28.50,5.50
CMRLTR20,L5-R5,AFTER,LH,837.00,26.50,28.50,10.40
CMRLTR20,L5-R5,AFTER,RH,837.50,27.00,29.00,9.60
CMRLTR20,L4-R4,BEFORE,LH,848.00,33.00,27.00,3.70
CMRLTR20,L4-R4,BEFORE,RH,848.50,33.50,27.50,5.70
CMRLTR20,L4-R4,AFTER,LH,838.00,26.00,28.00,10.50
CMRLTR20,L4-R4,AFTER,RH,838.50,26.50,28.50,9.50
CMRLTR20,L3-R3,BEFORE,LH,849.00,32.00,26.00,3.90
CMRLTR20,L3-R3,BEFORE,RH,849.50,32.50,26.50,5.90
CMRLTR20,L3-R3,AFTER,LH,839.00,25.50,27.50,10.60
CMRLTR20,L3-R3,AFTER,RH,839.50,26.00,28.00,9.90
CMRLTR20,L2-R2,BEFORE,LH,850.00,31.00,25.00,4.10
CMRLTR20,L2-R2,BEFORE,RH,850.50,31.50,25.50,6.10
CMRLTR20,L2-R2,AFTER,LH,840.00,25.00,27.00,10.70
CMRLTR20,L2-R2,AFTER,RH,840.50,25.50,27.50,9.10
CMRLTR20,L1-R1,BEFORE,LH,851.00,30.00,24.00,4.30
CMRLTR20,L1-R1,BEFORE,RH,851.50,30.50,24.50,6.30
CMRLTR20,L1-R1,AFTER,LH,841.00,24.50,26.50,10.80
CMRLTR20,L1-R1,AFTER,RH,841.50,25.00,27.00,9.00
