TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR,date
CMRLTR7,L9-R9,BEFORE,LH,845.72,37.15,31.58,3.32,15.07.2022
CMRLTR7,L9-R9,BEFORE,RH,845.37,37.12,33.4,7.09,15.07.2022
CMRLTR7,L9-R9,AFTER,LH,839.5,29.07,32.08,10.09,21.07.2022
CMRLTR7,L9-R9,AFTER,RH,839.49,29.01,31.86,9.81,21.07.2022
CMRLTR7,L10-R10,BEFORE,LH,846.46,36.91,31.93,3.31,15.07.2022
CMRLTR7,L10-R10,BEFORE,RH,846.22,36.85,34.31,7.9,15.07.2022
CMRLTR7,L10-R10,AFTER,LH,840.21,29.06,31.88,10.08,21.07.2022
CMRLTR7,L10-R10,AFTER,RH,840.09,29.14,31.85,9.87,21.07.2022
CMRLTR7,L11-R11,BEFORE,LH,848.83,35.82,32.21,3.98,15.07.2022
CMRLTR7,L11-R11,BEFORE,RH,848.72,35.36,33.81,7.33,15.07.2022
CMRLTR7,L11-R11,AFTER,LH,841.75,29.04,31.93,10.16,21.07.2022
CMRLTR7,L11-R11,AFTER,RH,841.73,29.15,31.94,9.84,21.07.2022
CMRLTR7,L12-R12,BEFORE,LH,848.96,35.66,30.71,3.25,15.07.2022
CMRLTR7,L12-R12,BEFORE,RH,849.59,34.78,32.93,7.26,15.07.2022
CMRLTR7,L12-R12,AFTER,LH,841.58,29.06,31.92,10.02,21.07.2022
CMRLTR7,L12-R12,AFTER,RH,841.59,29.08,31.98,9.81,21.07.2022
CMRLTR7,L13-R13,BEFORE,LH,848.58,36.0,31.4,3.74,15.07.2022
CMRLTR7,L13-R13,BEFORE,RH,849.5,35.35,32.57,7.02,15.07.2022
CMRLTR7,L13-R13,AFTER,LH,842.21,29.09,31.96,9.96,21.07.2022
CMRLTR7,L13-R13,AFTER,RH,842.45,29.1,31.9,10.02,21.07.2022
CMRLTR7,L14-R14,BEFORE,LH,849.72,35.41,31.53,3.73,15.07.2022
CMRLTR7,L14-R14,BEFORE,RH,849.65,34.97,33.15,7.27,15.07.2022
CMRLTR7,L14-R14,AFTER,LH,842.7,29.07,32.02,10.09,21.07.2022
CMRLTR7,L14-R14,AFTER,RH,842.8,29.04,31.92,9.74,21.07.2022
CMRLTR7,L15-R15,BEFORE,LH,850.01,35.08,31.98,4.47,15.07.2022
CMRLTR7,L15-R15,BEFORE,RH,849.89,34.84,32.95,7.04,15.07.2022
CMRLTR7,L15-R15,AFTER,LH,842.66,29.06,32.04,10.12,21.07.2022
CMRLTR7,L15-R15,AFTER,RH,842.92,29.12,31.98,9.83,21.07.2022
CMRLTR7,L16-R16,BEFORE,LH,851.24,34.71,30.58,3.79,15.07.2022
CMRLTR7,L16-R16,BEFORE,RH,850.77,34.35,32.18,7.07,15.07.2022
CMRLTR7,L16-R16,AFTER,LH,842.48,29.04,32.12,9.88,21.07.2022
CMRLTR7,L16-R16,AFTER,RH,842.55,29.02,32.02,9.8,21.07.2022
CMRLTR7,L8-R8,BEFORE,LH,850.63,34.79,30.62,3.61,15.07.2022
CMRLTR7,L8-R8,BEFORE,RH,851.2,34.42,32.62,7.24,15.07.2022
CMRLTR7,L8-R8,AFTER,LH,842.86,29.08,31.98,10.01,21.07.2022
CMRLTR7,L8-R8,AFTER,RH,842.74,29.01,31.92,9.81,21.07.2022
CMRLTR7,L7-R7,BEFORE,LH,850.08,34.51,30.97,3.42,15.07.2022
CMRLTR7,L7-R7,BEFORE,RH,850.75,34.51,33.23,7.25,15.07.2022
CMRLTR7,L7-R7,AFTER,LH,842.6,29.09,31.97,10.02,21.07.2022
CMRLTR7,L7-R7,AFTER,RH,842.64,29.13,31.92,9.81,21.07.2022
CMRLTR7,L6-R6,BEFORE,LH,849.99,34.95,31.71,4.27,15.07.2022
CMRLTR7,L6-R6,BEFORE,RH,849.75,35.16,33.21,7.17,15.07.2022
CMRLTR7,L6-R6,AFTER,LH,843.0,29.09,32.1,10.15,21.07.2022
CMRLTR7,L6-R6,AFTER,RH,842.85,29.11,31.98,9.8,21.07.2022
CMRLTR7,L5-R5,BEFORE,LH,849.06,35.86,31.09,3.62,15.07.2022
CMRLTR7,L5-R5,BEFORE,RH,849.7,35.06,32.44,6.95,15.07.2022
CMRLTR7,L5-R5,AFTER,LH,842.18,29.05,32.11,9.93,21.07.2022
CMRLTR7,L5-R5,AFTER,RH,842.21,29.12,31.89,9.7,21.07.2022
CMRLTR7,L4-R4,BEFORE,LH,849.32,35.56,30.89,3.45,15.07.2022
CMRLTR7,L4-R4,BEFORE,RH,848.22,35.59,33.02,7.19,15.07.2022
CMRLTR7,L4-R4,AFTER,LH,842.19,29.01,32.06,10.04,21.07.2022
CMRLTR7,L4-R4,AFTER,RH,842.33,29.09,31.94,9.78,21.07.2022
CMRLTR7,L3-R3,BEFORE,LH,849.0,35.62,32.05,3.87,15.07.2022
CMRLTR7,L3-R3,BEFORE,RH,848.42,35.36,33.2,6.8,15.07.2022
CMRLTR7,L3-R3,AFTER,LH,841.34,29.08,31.99,10.06,21.07.2022
CMRLTR7,L3-R3,AFTER,RH,841.42,29.14,31.95,9.77,21.07.2022
CMRLTR7,L2-R2,BEFORE,LH,845.85,37.46,32.68,3.82,15.07.2022
CMRLTR7,L2-R2,BEFORE,RH,842.61,38.36,34.69,7.78,15.07.2022
CMRLTR7,L2-R2,AFTER,LH,840.42,29.04,32.0,10.14,21.07.2022
CMRLTR7,L2-R2,AFTER,RH,840.37,28.97,31.95,9.73,21.07.2022
CMRLTR7,L1-R1,BEFORE,LH,846.19,32.3,31.26,6.22,15.07.2022
CMRLTR7,L1-R1,BEFORE,RH,846.39,31.95,31.27,7.21,15.07.2022
CMRLTR7,L1-R1,AFTER,LH,841.06,29.04,32.03,9.9,21.07.2022
CMRLTR7,L1-R1,AFTER,RH,841.26,29.08,31.98,9.69,21.07.2022
