TrainID,Axle,State,Side,Wheel Diameter,Flange Height,Flange Thickness,QR
CMRLTR25,L9-R9,BEFORE,LH,846,36.46,30.57,3.26
CMRLTR25,L9-R9,BEFORE,RH,845.16,37.19,31.63,5.9
CMRLTR25,L9-R9,AFTER,LH,837.84,28.95,31.96,10.02
CMRLTR25,L9-R9,AFTER,RH,838.18,29.07,32.01,10.04
CMRLTR25,L10-R10,BEFORE,LH,845.52,36.91,32.24,3.73
CMRLTR25,L10-R10,BEFORE,RH,846.3,36.73,32.87,6.0
CMRLTR25,L10-R10,AFTER,LH,838.77,28.95,31.9,10.03
CMRLTR25,L10-R10,AFTER,RH,839.03,29.02,32.0,10.05
CMRLTR25,L11-R11,BEFORE,LH,850.3,34.3,30.98,3.43
CMRLTR25,L11-R11,BEFORE,RH,850.46,34.63,32.34,6.16
CMRLTR25,L11-R11,AFTER,LH,840.19,28.99,31.87,10.37
CMRLTR25,L11-R11,AFTER,RH,840.28,29.03,32.23,10.01
CMRLTR25,L12-R12,BEFORE,LH,850.37,34.47,30.14,3.8
CMRLTR25,L12-R12,BEFORE,RH,851.32,34.15,31.63,6.51
CMRLTR25,L12-R12,AFTER,LH,839.43,28.95,31.97,10.41
CMRLTR25,L12-R12,AFTER,RH,839.29,29.01,32.15,10.11
CMRLTR25,L13-R13,BEFORE,LH,850.06,34.47,30.35,3.41
CMRLTR25,L13-R13,BEFORE,RH,850.94,34.33,31.12,6.04
CMRLTR25,L13-R13,AFTER,LH,838.46,28.97,32.01,10.36
CMRLTR25,L13-R13,AFTER,RH,838.47,29.09,32.37,10.0
CMRLTR25,L14-R14,BEFORE,LH,851.24,34.04,31.18,3.91
CMRLTR25,L14-R14,BEFORE,RH,850.65,34.52,32.22,6.31
CMRLTR25,L14-R14,AFTER,LH,837.48,28.95,31.94,10.37
CMRLTR25,L14-R14,AFTER,RH,837.63,28.99,31.97,9.98
CMRLTR25,L15-R15,BEFORE,LH,851.48,33.75,30.86,3.65
CMRLTR25,L15-R15,BEFORE,RH,852.02,33.86,31.19,5.82
CMRLTR25,L15-R15,AFTER,LH,835.58,28.95,31.92,10.37
CMRLTR25,L15-R15,AFTER,RH,835.65,29.01,31.97,9.89
CMRLTR25,L16-R16,BEFORE,LH,852.58,33.32,28.37,3.47
CMRLTR25,L16-R16,BEFORE,RH,852.53,33.58,30.55,6.09
CMRLTR25,L16-R16,AFTER,LH,834.62,28.98,31.96,10.31
CMRLTR25,L16-R16,AFTER,RH,834.7,29.03,31.94,10.01
CMRLTR25,L8-R8,BEFORE,LH,850.63,34.17,29.13,3.31
CMRLTR25,L8-R8,BEFORE,RH,851.81,34.07,30.01,6.13
CMRLTR25,L8-R8,AFTER,LH,837.69,28.91,31.95,10.37
CMRLTR25,L8-R8,AFTER,RH,837.76,29.03,31.94,9.95
CMRLTR25,L7-R7,BEFORE,LH,849.34,34.94,29.7,3.39
CMRLTR25,L7-R7,BEFORE,RH,850.62,34.6,31.96,6.07
CMRLTR25,L7-R7,AFTER,LH,837.52,28.99,31.91,10.56
CMRLTR25,L7-R7,AFTER,RH,837.56,29.09,31.96,9.97
CMRLTR25,L6-R6,BEFORE,LH,850.28,34.27,30.53,3.42
CMRLTR25,L6-R6,BEFORE,RH,850.85,34.46,31.74,6.02
CMRLTR25,L6-R6,AFTER,LH,837.47,28.97,31.97,10.28
CMRLTR25,L6-R6,AFTER,RH,837.46,29.02,31.93,10.0
CMRLTR25,L5-R5,BEFORE,LH,850.18,34.36,29.9,3.72
CMRLTR25,L5-R5,BEFORE,RH,850.49,34.48,31.35,6.14
CMRLTR25,L5-R5,AFTER,LH,836.83,28.99,31.95,10.28
CMRLTR25,L5-R5,AFTER,RH,836.89,29.06,31.98,10.01
CMRLTR25,L4-R4,BEFORE,LH,850.11,34.55,30.24,3.65
CMRLTR25,L4-R4,BEFORE,RH,849.56,35.09,31.83,6.29
CMRLTR25,L4-R4,AFTER,LH,837.04,28.99,31.91,10.4
CMRLTR25,L4-R4,AFTER,RH,837.16,29.08,31.9,9.97
CMRLTR25,L3-R3,BEFORE,LH,848.8,35.18,32.03,3.91
CMRLTR25,L3-R3,BEFORE,RH,849.77,34.95,32.62,6.37
CMRLTR25,L3-R3,AFTER,LH,837.99,28.93,31.92,10.34
CMRLTR25,L3-R3,AFTER,RH,837.92,29.03,31.98,9.98
CMRLTR25,L2-R2,BEFORE,LH,845.87,36.88,32.77,3.97
CMRLTR25,L2-R2,BEFORE,RH,840.97,39.05,31.93,5.5
CMRLTR25,L2-R2,AFTER,LH,837.35,28.96,31.92,10.33
CMRLTR25,L2-R2,AFTER,RH,837.58,29.01,31.94,9.99
CMRLTR25,L1-R1,BEFORE,LH,846.43,36.6,31.3,3.62
CMRLTR25,L1-R1,BEFORE,RH,844.87,37.06,31.11,5.41
CMRLTR25,L1-R1,AFTER,LH,837.93,28.98,31.93,10.36
CMRLTR25,L1-R1,AFTER,RH,838.05,29.02,31.97,9.83
